region-centroid-col;region-centroid-row;region-pixel-count;short-line-density-5;short-line-density-2;vedge-mean;vegde-sd;hedge-mean;hedge-sd;intensity-mean;rawred-mean;rawblue-mean;rawgreen-mean;exred-mean;exblue-mean;exgreen-mean;value-mean;saturation-mean;hue-mean;binaryClass
?;236;9;?;?;?;?;?;?;13.963;?;?;18.6667;?;-4.55556;?;18.6667;0.424235;?;0
?;77;?;0.111111;?;1.77778;0.651851;?;?;?;?;?;3.55556;?;15.6667;-4.33333;10.2222;?;?;0
?;135;?;?;0;0.055556;?;0.111111;0.172133;?;0.777778;?;0;-1.44444;5.22222;?;3;?;-1.82221;0
?;?;9;0;?;?;?;3.27778;3.06534;34.8519;?;42;30.6667;-8.88889;21.4444;?;?;?;?;0
?;90;?;?;?;5.66667;?;?;63.763;?;?;15.6667;?;-12.6667;?;-7.33333;?;?;-2.26639;0
240;58;9;0;?;?;?;?;?;92.7037;?;118.556;?;-47.4444;77.5556;?;118.556;?;?;0
?;?;?;0;0;?;0.374072;?;?;?;115.333;141.667;120;?;48;-17;?;0.185658;-2.27374;0
?;20;9;0;?;1.33333;0.760117;?;4.47917;35.4815;?;?;?;-10.4444;21.8889;-11.4444;?;?;?;0
?;102;9;?;0;?;?;?;0.207407;?;51.1111;69.1111;50.1111;-17;37;?;?;0.274353;?;0
?;?;9;?;?;?;?;?;?;?;16.2222;?;16.7778;?;?;?;29.2222;?;-2.13488;0
?;?;?;?;0;?;0;0;?;0;?;?;0;?;?;?;?;0;?;0
228;20;9;0;0;1.05555;?;?;0.752773;125;?;140.556;?;-33;46.6667;?;?;?;-2.34801;0
212;81;9;0;0;?;?;?;?;?;77.2222;118.444;?;-44.8889;?;?;?;0.347902;?;0
?;93;?;?;?;?;?;?;0.922222;?;2;9.33333;?;?;13;-4;9.33333;0.80862;-2.32942;0
?;?;?;?;0;0.111111;?;?;0.136083;0.074074;0;?;0;-0.222222;0.444444;-0.222222;0.222222;0.222222;?;0
?;247;9;0;0;2.66667;?;2.22222;?;?;9.55556;?;15.8889;-9.22222;-0.555556;9.77778;?;0.401833;?;0
41;?;9;0;0;?;?;?;1.39629;?;?;128;?;-25.2222;47.1111;-21.8889;128;?;-2.14142;0
?;?;?;0;0;2.88889;1.98513;1.11111;0.45542;?;?;?;24.2222;-12;-6.66667;18.6667;24.2222;0.424404;?;0
41;?;?;0;0;2.05556;1.57407;1.55556;1.94074;21.7407;?;28.7778;16.1111;?;?;-16.8889;?;0.437042;-1.73729;1
80;95;?;0;0;1.22222;?;?;0.551851;?;21.3333;26.6667;16.2222;?;?;?;?;0.390436;-1.56733;1
?;?;9;0;?;2.16667;1.63333;?;0.685186;4.44444;1.22222;?;?;?;13.6667;-4;?;?;-2.3338;0
197;236;?;?;0;?;?;?;?;16.0741;13.1111;?;18.4444;?;1.77778;?;?;?;?;0
207;58;9;0;?;?;?;?;?;?;?;138.778;?;-35.6667;?;-14.6667;138.778;?;?;0
156;86;?;?;?;?;?;0.277778;0.250924;?;15.8889;28.5556;16.8889;?;?;-10.6667;28.5556;0.444698;?;0
?;79;9;0;0;16.2778;?;14.1667;155.322;32.7778;?;45.7778;?;?;?;?;?;?;-2.2863;0
89;?;9;?;?;?;?;2.38889;1.21852;17.7037;17.6667;23;?;?;?;-15.7778;?;0.462002;-1.56397;1
143;34;9;0;0;?;0.928956;?;0.879814;?;113.667;?;?;?;49.5556;?;?;?;?;0
169;?;9;0;?;?;?;?;?;?;77.3333;?;?;?;73.6667;-28.6667;?;?;?;0
197;144;?;0;?;?;0.712325;?;?;0.703704;?;?;0.111111;-1.11111;?;?;?;?;?;0
62;?;?;?;0;0.777777;?;?;0.403686;?;?;130.889;?;-41.6667;56;?;130.889;?;-2.38614;0
?;194;9;0;0;?;?;5.22222;4.43555;58.963;?;71.5556;?;-18.2222;?;?;71.5556;?;?;0
?;?;9;?;?;?;1.54074;0.833333;0.255556;?;0.555556;?;1.22222;?;?;-6.11111;8;0.944811;?;0
?;72;?;?;?;?;0.507407;?;0.577776;26.2222;23.7778;?;19.4444;?;?;-20.3333;35.4444;0.450926;-1.80787;1
230;180;9;0.111111;0;?;0.518518;1.94444;?;?;9.66667;?;18.7778;?;?;14.7778;?;?;?;0
196;?;?;0;0;2.77778;?;?;?;41.963;?;51.2222;38.1111;-16.2222;27.7778;-11.5556;?;?;-2.38829;0
?;?;?;?;0;0.388889;?;0.333333;0.177778;?;?;2.77778;0.111111;?;5.44444;?;2.77778;1;-2.11755;0
?;81;?;?;?;1.38889;?;?;0.296296;?;1;7.44444;?;-7.44444;?;?;?;?;?;0
?;?;9;?;?;1.83333;3.54444;?;3.71852;3.66667;?;?;2.11111;-8;?;-4.66667;7.88889;0.903571;-2.25554;0
149;117;?;0.222222;0;0.833333;0.255556;?;?;21.2222;21.1111;26.3333;16.2222;-0.333333;15.3333;-15;26.3333;?;?;1
69;92;?;?;?;?;4.51852;2;?;19.3704;?;?;?;2.55556;?;?;23.3333;?;?;1
235;195;9;?;0;?;2.09408;3;?;48.3333;42.7778;59.6667;?;-16.6667;34;?;?;?;?;0
174;145;?;?;0;?;?;0;0;0;0;0;0;?;0;?;?;?;?;0
137;?;9;?;?;2.61111;3.04074;2.94444;3.88518;28.4074;25.3333;?;?;?;?;?;38.2222;0.430558;?;1
121;113;9;?;0;?;?;?;1.52963;?;20;?;15.3333;?;15.5556;?;?;0.396589;?;1
?;215;?;0;0;0.444445;?;0.5;?;?;?;?;11.2222;?;-7.44444;12.8889;11.2222;0.603704;?;0
?;?;9;0.111111;?;1.05556;0.151851;?;0.507407;?;20;31.1111;16.6667;?;25.5556;-17.7778;31.1111;?;?;1
143;20;9;0;?;1.11112;?;?;0.928959;?;?;142.667;122.556;?;?;?;?;0.181475;-2.32692;0
?;?;?;?;0;?;?;?;0;?;0;0;0;?;?;0;0;0;0;0
?;?;9;0;?;1.5;0.122222;0.888889;?;?;0.888889;?;2.22222;?;15.7778;?;9.44444;0.915376;?;0
157;221;9;?;?;1.05556;0.64693;1.22222;?;12.1111;10.2222;?;?;?;?;17.6667;18;?;1.87715;0
59;?;?;?;?;2.38889;1.5408;2.16667;1.27802;?;7.88889;18.5556;?;-14.3333;17.6667;-3.33333;18.5556;0.585775;-2.45157;0
239;123;9;?;?;0.5;?;?;?;?;0;?;0.333333;?;?;?;?;1;?;0
27;106;?;0;?;0.611111;0.418518;1.27778;?;?;0.333333;?;1.33333;-5.55556;?;-2.55556;4.88889;?;-2.27407;0
25;?;?;?;?;?;4.37407;?;0.996296;?;0.888889;8.11111;?;-9;?;?;?;0.911448;-2.35458;0
74;?;9;0;?;4.83333;3.64996;?;?;?;39.4444;57.3333;39;?;?;?;?;0.317325;?;0
92;?;9;0.111111;0;?;?;1.16667;1.04881;?;113.444;138.111;?;-31.1111;42.8889;?;?;?;-2.36728;0
92;?;9;0.111111;?;?;?;?;0.655461;?;53.4444;77;?;-23;47.6667;-24.6667;77;?;?;0
?;112;?;?;?;0.555556;0.385185;1;0.088889;?;7;8.11111;3.55556;?;5.66667;?;?;?;-1.27399;1
138;?;9;0;?;?;0.444444;1.16667;0.211111;6.44444;?;?;?;4;4.33333;-8.33333;8.22222;?;-1.07766;1
?;?;9;0;?;?;?;?;2.12222;20.5556;16.1111;28.6667;16.8889;-13.3333;24.3333;?;28.6667;0.437078;?;0
?;?;?;?;?;?;?;1.83333;1.14444;23.6667;?;?;17.8889;?;19.3333;-17.3333;30.1111;?;-1.6496;1
?;?;?;?;?;?;?;0.888889;0.074074;5.51852;?;?;3;?;?;?;?;?;?;1
?;?;9;0;?;0.277778;0.151852;?;0.122222;?;?;?;?;3;4.66667;?;?;0.60119;?;1
?;?;9;?;0;1.77778;?;?;4.1963;18.1852;?;17.1111;23.2222;?;-3.22222;15.1111;23.2222;0.389882;?;0
85;?;?;0;?;?;?;2.38889;?;?;7.55556;?;12.3333;?;28.3333;?;24.1111;0.691123;-2.39668;0
?;?;?;?;0;?;4.57777;?;1.58518;21.3704;16.6667;30;?;-14.1111;?;-11.7778;?;?;-2.14179;0
120;89;?;0.111111;?;?;?;5.83333;11.8555;?;?;?;?;?;19.8889;-5.77778;17.1111;0.686685;-2.35679;0
?;?;?;0;0;?;?;?;3.63114;16.1852;?;?;21;-8.55556;?;?;21;0.378871;?;0
99;132;?;0;0;0.444444;0.385185;0.555555;0.785185;0.740741;?;2;0.111111;?;?;-1.88889;2;0.981482;-2.0944;0
163;166;9;0;0;?;?;?;1.05185;16.963;?;?;22.2222;-13.8889;?;?;22.2222;?;2.51583;0
210;114;?;?;?;1.27778;?;0.611111;?;16.1852;?;?;12.1111;-14.2222;?;?;25;0.546207;?;0
65;?;?;?;0;?;?;2.72222;4.32963;24.5926;22.7778;32.5556;18.4444;-5.44444;?;-18.4444;32.5556;0.432167;-1.76075;1
252;36;9;0;?;0.944443;?;?;0.222216;135.296;128.556;?;131.222;-20.2222;?;?;?;?;?;0
183;?;?;?;0;?;1.42465;?;?;?;40.6667;?;?;-12.8889;30.1111;-17.2222;55;?;?;0
76;?;?;0;?;2.22222;5.4963;?;4.34074;?;21.7778;?;?;-5.55556;?;-17.2222;?;?;?;1
47;?;9;0;0;?;1.0256;4.88889;?;53.6667;?;66.8889;47.2222;?;?;-19.3333;66.8889;?;?;0
217;?;?;?;0;4.22222;?;?;?;45.0741;?;?;40;-16.2222;31.4444;?;55.5556;0.292957;-2.11857;0
48;202;9;0;0.111111;?;1.62504;?;?;58;52;?;51;-18;39;-21;71;?;?;0
?;13;9;?;?;1.77778;?;?;0.250924;?;6.11111;15.8889;5.88889;?;?;?;?;?;?;0
?;124;9;?;?;0.888889;0.074074;0.888889;0.340741;5.88889;7.11111;?;3.44444;3.66667;?;?;?;?;?;1
?;?;?;0;0;0;0;0;0;?;0;?;0;?;0;?;0;0;?;0
140;181;9;?;0;0.833333;?;1.27778;?;19.2963;?;?;?;?;?;14.1111;24;0.357668;2.45847;0
188;186;?;?;?;?;?;?;0.207407;18.5185;15.3333;?;22;?;-0.888889;10.4444;22;0.301883;2.5874;0
?;?;?;0;?;?;?;0.333333;0.044444;?;?;?;?;?;?;-7.88889;?;0.563713;?;1
78;72;9;0;0;?;1.00741;?;?;?;?;140.556;?;?;?;-14.3333;?;?;-2.32084;0
?;?;?;?;?;?;0.403687;?;?;?;?;10.3333;14.4444;?;?;9.33333;14.4444;0.367923;2.29112;0
?;?;?;?;?;7.38889;6.94556;1.27778;?;?;57.6667;79.7778;58.1111;-22.5556;43.7778;-21.2222;?;0.278345;-2.10881;0
186;98;9;0;?;?;?;?;?;33.963;31;?;29.8889;-8.88889;21.1111;?;41;0.265698;?;0
?;81;9;0;?;?;?;?;?;?;?;?;?;?;78.1111;?;?;?;-2.18233;0
121;82;9;0;0;0.555556;?;?;0.443054;?;?;125.889;?;-40.8889;?;?;?;0.262093;-2.34487;0
24;?;?;0;?;2.77778;?;?;2.37407;?;19.1111;?;13.8889;?;?;-14.5556;23.3333;0.399927;-1.45682;1
?;?;?;0;0;0.944445;0.596296;1.83333;?;15.1111;?;?;?;?;?;?;?;0.435769;?;0
?;174;9;?;0;1.44444;?;?;1.26491;?;?;?;29;-7.55556;?;?;?;0.32797;?;0
145;248;?;0;0;2.05556;?;?;?;?;23.2222;?;32.3333;-11;-5.33333;?;?;0.291675;?;0
?;?;?;0;?;?;0.182574;0.055556;?;0.481482;?;?;0;?;?;?;1.44444;1;?;0
45;?;9;?;0;?;2.19511;3.33333;?;50.2593;44.8889;61.7778;?;?;?;-18.4444;61.7778;?;?;0
237;?;9;0;?;?;?;5.83333;20.9222;9.88889;?;17;?;-11.6667;21.3333;?;?;?;-2.15026;0
?;?;9;0;0;0.333335;?;?;?;?;?;?;?;-38.2222;?;?;?;0.276784;?;0
?;90;?;0;?;?;?;?;0.471405;10.037;7.55556;?;7.55556;?;?;?;15;?;?;0
?;?;?;?;0;?;0.088889;0.611111;0.240741;2.96296;?;6.44444;1.33333;-5.55556;10.4444;?;6.44444;0.829233;?;0
?;?;?;?;?;0;0;?;0;0;0;0;?;?;0;?;?;0;0;0
117;137;?;?;?;?;?;0.666667;0.177778;3.11111;1.55556;6.33333;?;?;?;-5;6.33333;?;-2.07507;0
18;?;9;0;0;?;1.77221;1.55556;1.22323;64.7037;54.8889;82.5556;56.6667;?;?;?;82.5556;0.335115;-2.16055;0
?;?;?;?;?;3.05556;?;3.66667;?;?;?;6.44444;11.5556;?;?;10.1111;11.5556;?;2.09315;0
?;218;9;?;0;2.55556;?;1.61111;?;14.9259;?;?;?;?;-3.44444;?;?;0.386456;?;0
?;190;?;0.111111;0;?;2.56472;?;?;?;44.8889;?;?;-16.6667;35.6667;?;62.3333;?;?;0
?;243;9;0.111111;0;1.88889;1.85185;2;?;13.3333;?;12.1111;18;?;-3.66667;?;18;0.452229;?;0
174;188;9;0;0;?;?;3.61111;?;?;45.4444;62;?;-14.8889;34.7778;-19.8889;?;?;?;0
39;?;?;?;0.111111;?;4.77494;6.5;?;?;4.11111;?;?;?;15.8889;-5.44444;12.8889;0.772152;-2.26575;0
?;199;9;0;0;?;1.8619;4.66667;?;57;?;71;?;-19.3333;42;-22.6667;71;?;-2.04087;0
14;?;9;0;?;?;5.35185;?;1.02222;17.9259;18.8889;?;?;?;10.5556;?;?;0.368848;?;1
76;?;?;?;0;0.833333;0.433334;0.166667;0.077778;16.8519;13.5556;23.2222;?;-9.88889;19.1111;-9.22222;23.2222;?;?;0
180;?;9;0.111111;0;?;?;?;?;?;?;?;?;?;?;-18.4444;?;0.251194;?;0
?;?;9;?;0;2.55556;?;2.33333;?;?;11.1111;13;18.3333;?;?;?;18.3333;?;2.37843;0
?;97;?;?;0;0.388889;0.196296;?;0.207407;?;0.111111;5.55556;0.666667;-6;?;?;?;?;-2.19138;0
121;?;?;?;?;?;1.52963;2.94444;?;?;20;?;15.3333;?;15.5556;-14.7778;?;0.396589;?;1
202;?;9;?;?;0.333333;0.365148;?;2.61336;40.7407;37.1111;49.3333;35.7778;-10.8889;?;?;?;0.274519;?;0
?;148;9;0.111111;?;1.66667;0.843274;?;0.981307;1.77778;1.11111;?;1;?;4.33333;-2.33333;?;0.612963;?;0
?;108;?;0;?;?;0.8;1.38889;0.951852;17.6667;19;21.1111;12.8889;4;?;-14.3333;?;0.388756;?;1
139;95;9;?;?;3.61111;2.52469;7.05556;5.72486;46.8519;42.8889;56.3333;?;?;28.4444;?;?;0.264571;?;0
?;119;9;?;0;1.11111;1.29386;?;0.772202;39.8519;?;48.2222;35.1111;-10.8889;?;?;48.2222;0.271717;?;0
250;172;?;?;?;?;?;?;?;16.0741;?;?;?;-11.2222;?;?;20.8889;0.409835;?;0
169;?;?;0;0.222222;2.33333;1.65999;?;?;49.4444;44.6667;?;42.5556;?;35;?;?;?;-1.97439;0
?;?;?;?;?;?;0.607408;?;1.48519;23.0741;22.1111;29.7778;17.3333;-2.88889;20.1111;-17.2222;?;0.417763;?;1
?;?;9;0;0;?;1.11555;1.83333;?;62.7037;54.7778;78.7778;?;?;?;-24.4444;?;0.310288;-2.08494;0
?;?;9;?;?;?;?;?;1.54074;?;18.7778;19.4444;?;6.22222;8.22222;-14.4444;19.7778;?;?;1
?;192;?;?;0;?;?;?;?;45.963;40.5556;?;?;-16.2222;36.4444;?;58.1111;0.325608;?;0
?;?;?;0;?;?;0.162963;1.33333;?;?;?;6.11111;3;4.66667;?;-7;?;0.592813;?;1
145;33;9;0;0;?;0.272163;0.888888;0.620634;?;113.222;140.889;?;-34;?;?;?;?;-2.33354;0
?;?;?;?;?;0.722222;?;?;?;2.88889;0.666667;6.33333;1.66667;?;?;?;6.33333;?;?;0
?;67;9;0;?;1.72222;?;?;?;?;53;?;53.3333;-23.2222;45.4444;-22.2222;?;?;-2.1098;0
?;?;9;0;0;?;0.744446;0.944445;?;?;52.3333;?;?;?;37.8889;-21.4444;70.4444;?;-2.00603;0
185;118;?;?;?;?;182.296;?;?;?;50.1111;66.3333;?;?;33.7778;?;66.3333;0.265558;-2.00712;0
?;?;9;?;0.111111;2.22222;?;1;1.95556;?;1.88889;?;4.33333;?;?;-3.88889;10.6667;0.829748;-2.38395;0
78;?;9;?;0;?;?;?;?;35.2963;?;?;30.7778;-12.2222;25.7778;-13.5556;43.8889;0.302286;?;0
199;25;9;?;?;?;?;?;0.774075;?;89.1111;126.889;?;-43.5556;?;?;?;0.297528;-2.2521;0
?;12;?;?;?;?;?;?;1.96638;?;3.88889;11.3333;3.55556;-7.11111;15.2222;?;?;?;-2.05798;0
158;?;?;?;0;0.944444;1.08355;?;0.403687;?;?;1.22222;0.222222;-0.555556;?;?;?;?;?;0
?;187;9;0;?;1.22222;?;?;?;?;44.1111;59.8889;?;-13.2222;34.1111;-20.8889;?;?;?;0
190;?;9;0;0;?;1.56347;?;?;49.7037;?;?;?;?;36.2222;-21.1111;61.7778;0.309236;-1.98456;0
?;111;9;?;?;?;0.311111;?;0.507407;5.7037;?;?;3.22222;?;?;-7.44444;7.33333;0.566138;?;1
?;86;9;?;?;1.44444;?;1.22222;1.31852;?;?;35;?;-6.77778;?;-18.7778;35;0.421495;?;1
?;77;9;?;0;?;?;2.44444;?;?;23.4444;?;?;-3.11111;21.2222;-18.1111;?;0.415737;?;1
152;98;9;0;0;7;?;1.05556;0.772202;?;24.8889;37.1111;24.3333;-11.6667;25;-13.3333;?;0.346398;?;0
?;?;9;0;0;?;0.490655;?;0.720081;?;?;138.333;116.778;-32.2222;48.4444;?;138.333;?;-2.3012;0
?;?;?;?;?;2;1.91111;?;8.29629;?;24;31.6667;?;?;20.4444;?;?;0.40212;-1.65277;1
212;234;9;?;0;0.444445;?;1.05556;?;7.11111;?;?;11.1111;-3.33333;?;?;?;0.621324;?;0
?;199;9;?;0;1.66667;?;1.38889;0.712325;?;?;11.7778;19.8889;?;?;14.6667;19.8889;0.408885;1.9053;0
96;96;?;0;?;1;1.51111;0.833333;0.3;?;?;?;?;?;16.7778;-5.88889;?;0.778863;?;0
?;?;9;0.111111;0;1.22222;?;2.5;?;56.2593;?;69;?;?;?;?;?;0.2956;?;0
196;129;?;0;0;?;?;?;0.177778;6.33333;?;?;?;4.66667;?;-7.66667;?;0.540123;-0.932783;1
250;?;9;0;?;?;?;?;?;95.9259;?;121.111;86.5556;-47.4444;75.5556;?;?;?;-2.25844;0
226;110;9;?;0;0.333333;?;?;0.211111;1.66667;?;?;0.444444;-4.66667;?;?;?;0.977778;?;0
245;18;?;0;?;?;?;?;0.211111;?;131.444;147.889;?;-19.3333;?;?;?;?;?;0
?;?;?;?;?;0.555555;0.207407;?;0.088889;?;?;?;0.111111;?;4.11111;?;?;?;?;0
?;?;?;0;0;1.66667;?;2.27778;1.87873;11.2593;8.77778;8.11111;16.8889;?;-9.44444;16.8889;?;0.538945;2.01975;0
?;?;?;0;0;1.22222;1.24127;1.33333;?;16.1481;8;28.3333;?;?;?;-12.1111;28.3333;0.718221;?;0
?;?;?;0.111111;?;?;1.13529;?;1.94079;?;?;125.556;?;-41.8889;58.4444;?;?;?;?;0
?;?;9;?;?;1.88889;?;?;5.66296;30.1852;25.1111;?;?;?;?;-15.2222;?;0.392034;?;0
?;?;?;?;?;?;0.311111;?;0.166667;1.40741;0;?;0.555556;?;6.77778;-2.55556;?;1;-2.22994;0
70;?;?;?;?;?;?;2.16667;1.36667;?;22.4444;31;17.8889;?;?;-17.6667;31;0.420823;-1.71313;1
?;?;9;0;0.111111;2.94445;1.73098;?;?;?;?;?;41.6667;-15.1111;35.2222;-20.1111;?;?;-1.99855;0
?;?;?;?;0;?;1.61852;1.33333;?;?;5.77778;8.44444;4.55556;?;6.55556;-5.11111;8.66667;?;-1.58434;0
8;?;?;0.111111;0;?;?;1.83333;?;?;?;132;?;-32.4444;?;-23.4444;?;?;-2.19816;0
159;111;9;?;0;?;0.074074;0.611111;0.151852;5.92593;7.66667;?;3.22222;5.22222;2.88889;?;7.66667;0.581349;?;1
?;?;9;?;?;?;?;1;?;6.33333;7.88889;?;3.77778;4.66667;?;?;8.22222;?;?;1
?;?;?;?;?;?;?;1;?;?;11.6667;22.6667;?;-11.2222;?;?;22.6667;0.53355;?;0
74;?;9;?;0;0.222222;0.02963;0.111111;?;0.518518;0;1.55556;?;-1.55556;3.11111;?;?;?;-2.0944;0
83;198;?;?;0;?;1.49691;?;?;?;53.1111;74;?;-20;42.6667;-22.6667;?;0.296314;?;0
?;96;?;0.111111;?;1;1.02222;2.77778;3.36296;21.8889;22.1111;?;?;0.666667;?;-17;27.3333;?;-1.53069;1
?;?;?;0;?;?;?;0.388889;0.062963;0.259259;?;?;0;-0.777778;?;?;0.777778;0.555556;?;0
?;?;9;?;0;?;0.018519;?;0.02963;?;0;?;0;-3.88889;?;-3.88889;3.88889;1;?;0
185;186;9;0;0;?;?;?;?;48.2222;44;?;?;-12.6667;32;-19.3333;?;0.290427;?;0
?;147;?;?;?;0.611111;0.107407;?;?;6.77778;?;11;?;-4;?;-8.66667;11;?;-1.78339;1
163;177;?;0.111111;0;?;?;?;0.78889;24.5185;?;?;30.8889;?;-9.22222;19.1111;?;?;2.12542;0
94;127;?;0;?;?;0.501849;0.777778;?;?;0.555556;5.55556;?;-6.55556;8.44444;?;5.55556;0.915344;-2.40894;0
25;?;?;0;?;?;?;1.5;?;?;?;131.222;105.111;-28.5556;53.4444;-24.8889;?;?;-2.13982;0
1;?;9;0.111111;?;?;2.38889;?;4.96296;16.5556;15.6667;?;12.2222;-2.66667;?;-13;21.8889;?;-1.54801;1
?;110;9;?;?;0.833333;?;?;0.566667;1.81481;?;?;0.444444;-5.11111;?;-4.11111;4.88889;?;?;0
187;?;9;0;?;?;?;?;4.80278;39.7037;?;48.2222;?;-11.7778;25.5556;?;?;?;?;0
?;60;9;?;?;2.27778;?;2.88889;2.87407;?;24.6667;35.2222;?;?;?;-19.2222;35.2222;?;?;1
47;?;9;?;?;?;0.574134;0.833333;0.752772;?;?;?;54.3333;-22.4444;45.2222;-22.7778;?;?;?;0
?;148;?;?;0;0.111111;0.172133;0.055556;0.136083;0.037037;0;?;?;-0.111111;0.222222;?;?;?;?;0
41;101;?;?;0;?;?;2.05555;?;?;?;?;56.7778;?;?;-22.7778;?;?;-2.08957;0
?;178;9;0;?;?;?;?;?;47.963;?;?;42.3333;?;?;-16.8889;?;?;-2.10254;0
191;?;9;0;?;?;0.779363;?;?;?;39;57.1111;?;?;?;-18.1111;57.1111;0.322733;?;0
249;?;9;?;0;2.55555;?;?;?;45.2963;?;?;?;?;?;?;?;0.292784;-2.01665;0
249;173;9;?;0;?;?;?;?;55.1852;?;?;?;-19.8889;?;-23.2222;?;?;?;0
140;?;9;0;?;0.999999;?;?;0.118518;?;117.778;142.333;?;-30.6667;?;-12.3333;?;?;-2.35455;0
140;25;9;0;0;?;?;1.11111;?;?;117.778;142.333;?;?;?;-12.3333;?;?;-2.35455;0
?;?;?;0;0;4.88889;?;?;36.1222;?;6.55556;15.1111;?;-10.4444;15.2222;-4.77778;?;0.597765;?;0
?;?;9;0;0;0.277778;0.196296;1.27778;2.06296;?;0.333333;?;0.777778;?;?;-0.222222;?;?;?;0
161;73;?;?;?;?;?;0.61111;0.389682;43.8519;43;48.7778;?;-2.55556;?;-12.2222;48.7778;0.184376;-1.72044;0
?;?;?;?;?;1.27778;0.854184;2.44444;?;?;?;5.77778;?;?;?;3;6.22222;0.665344;-3.04418;0
17;110;?;?;?;1.27778;1.26296;2.72222;?;3.96296;1.44444;6.44444;4;?;7.44444;?;6.44444;0.806658;-2.61865;0
114;?;9;0;0;3.16667;?;?;?;?;51.1111;?;?;-20.1111;44.2222;-24.1111;?;?;?;0
?;211;?;0;0;?;?;2;?;13.6296;?;12.8889;17.2222;?;-2.22222;10.7778;?;?;2.44102;0
11;?;9;0;0;3.16667;3.03132;?;?;53.5556;46.4444;?;46.8889;?;?;-20;67.3333;0.313032;?;0
103;?;9;0;0;0.499997;?;?;?;127.519;116.556;142.889;?;-32.8889;46.1111;-13.2222;?;?;-2.35296;0
?;115;?;?;?;0.388889;?;0.333333;?;?;?;?;4;?;?;-8.33333;8.66667;?;?;1
197;58;9;0;0;0.833335;?;?;?;?;110.444;138.778;?;-35.4444;49.5556;?;?;?;-2.35727;0
183;?;?;0;0;?;?;?;?;65.5556;60;?;?;-16.6667;?;?;78.7778;?;?;0
?;118;?;?;?;0.388889;0.151852;?;0.196296;6.07407;7.66667;7;?;?;2.77778;?;?;0.537698;-0.87829;1
?;139;9;?;?;2.83333;1.77326;2.11111;1.66889;18.0741;16;?;15.6667;?;13.4444;?;23.8889;0.386612;?;0
?;?;?;0;0;0.222222;0.074074;0.222222;0.02963;?;0;?;0;?;?;-1.88889;1.88889;?;?;0
?;159;9;0;?;?;7.54074;14.8333;?;36.6296;31.3333;?;32.3333;-15.8889;28.7778;-12.8889;?;?;-2.31687;0
97;?;9;0;?;1.55556;1.09629;13.2222;108.741;?;?;64.1111;?;-14.4444;?;?;?;0.280593;-1.99411;0
82;?;9;0;?;5.66667;?;5.94444;60.063;?;?;12.7778;4.77778;?;17.4444;?;?;0.822893;-2.24013;0
?;152;9;?;0;?;?;?;?;25.037;19.6667;?;29.6667;?;?;13.8889;?;0.337989;?;0
177;130;9;?;0;?;0.136083;0.222222;0.272166;1.18519;?;?;0;?;?;?;?;?;-1.86115;0
?;180;?;?;0;1.44444;?;?;?;31.4444;28.6667;?;27.8889;-8.33333;19;-10.6667;37.7778;0.252953;-2.02103;0
249;154;9;?;0.111111;?;?;1.72222;?;4.2963;?;7.66667;?;?;10.1111;?;?;?;?;0
?;137;?;?;?;?;?;?;0.712325;0.740741;0.333333;?;?;-1.22222;?;?;?;0.75;?;0
?;227;?;?;?;?;1.18634;?;0.807373;12.6296;?;?;17.4444;?;-4.88889;14.4444;17.4444;?;?;0
27;?;?;?;0;?;0.344265;0.111111;0.272166;?;0;0.444444;0;-0.444444;?;?;0.444444;0.222222;-2.0944;0
?;197;?;?;0;2.16667;0.691215;?;?;12.8519;?;?;15.3333;?;?;7.44444;?;0.322069;2.62821;0
52;?;9;0.111111;?;1.16667;0.255557;1.83333;?;?;?;?;107;?;43.6667;-21.6667;128.778;?;?;0
230;12;?;0;?;?;?;?;0.975626;?;?;135.333;?;-35.4444;?;?;?;?;-2.36887;0
?;68;9;?;?;3.44444;3.78692;?;0.278887;2.2963;?;?;?;-0.555556;1.77778;-1.22222;?;0.115741;-1.86115;0
83;?;9;?;?;0.555555;?;?;?;?;?;138.222;?;-33.3333;44.3333;-11;?;0.187217;-2.39327;0
2;?;9;?;0;2.05556;1.34026;0.888891;?;?;47.4444;71.6667;47.7778;-24.5556;?;-23.5556;71.6667;0.337756;?;0
214;195;?;?;0;?;?;?;?;46.5556;?;?;41.2222;-16.3333;32.3333;-16;?;?;-2.10138;0
?;?;9;?;?;?;?;?;?;21.7778;20.8889;28.3333;?;-2.66667;?;?;28.3333;0.430399;?;1
231;49;9;0;?;?;?;?;0.266668;120.704;108.111;139.333;?;-37.7778;55.8889;?;?;?;-2.31548;0
136;?;9;?;0;1.22222;?;?;1.52631;?;48.1111;63.7778;47.3333;-14.8889;?;?;63.7778;0.259367;?;0
?;?;9;?;0;?;?;?;?;49.6296;45;?;?;?;?;?;61.3333;0.306161;-1.95809;0
?;?;?;?;0;?;2.27466;1.33333;1.38243;?;?;?;?;?;?;?;6.77778;0.732926;-2.58723;0
?;?;9;0;0;5.05555;?;?;?;?;51.8889;?;?;?;42;-22.6667;72.3333;0.299654;?;0
?;135;?;0;0;?;2.46296;0.833334;0.477778;26.4444;20.2222;?;?;-18.6667;31.6667;?;?;?;?;0
137;190;9;0;0;?;?;?;?;60.4444;?;?;?;-21;45.3333;-24.3333;?;0.308799;-2.04362;0
