company1,company2,company3,company4,company5,company6,company7,company8,company9,outcome
48.875,32.5,15.5,?,40.625,28.5,80.75,?,38.875,0
47.75,?,?,54.125,40.75,28.0,81.0,26.25,39.625,0
47.375,32.625,15.25,?,41.5,27.875,81.125,26.875,39.5,0
47.0,?,?,?,42.75,27.75,80.5,27.5,39.75,0
46.875,?,?,?,43.125,28.25,80.875,?,39.875,0
46.625,?,?,55.125,?,27.625,82.0,?,40.75,0
46.5,33.375,15.875,?,43.375,28.0,82.0,?,40.5,1
47.0,?,16.25,?,44.125,28.875,81.25,?,39.625,1
47.25,?,16.125,?,47.25,28.25,80.75,?,39.375,1
46.75,35.25,15.75,57.5,49.0,27.375,80.125,?,39.75,1
?,35.0,16.0,55.0,50.125,?,?,27.625,39.5,1
47.5,?,?,?,50.375,27.0,79.125,27.875,39.625,1
47.75,37.5,?,56.875,46.75,23.75,80.25,27.875,39.625,1
47.625,37.0,?,55.0,47.25,23.0,79.0,27.375,39.125,1
46.125,36.5,15.625,55.125,48.75,23.625,79.25,?,39.125,1
45.875,37.25,15.875,54.5,47.75,24.0,?,?,39.25,1
45.75,37.625,16.125,?,48.75,24.5,79.25,?,39.625,1
45.5,39.0,17.5,?,48.25,24.375,80.75,?,?,1
45.875,38.375,17.5,54.875,47.25,24.0,81.25,27.125,40.75,1
46.625,?,?,?,?,?,81.375,?,40.625,1
47.0,?,?,?,48.75,23.5,81.25,26.625,40.0,1
?,?,16.5,56.375,48.75,22.75,80.875,26.375,40.0,1
47.125,40.0,?,?,49.125,22.875,?,25.875,39.875,1
48.125,39.625,?,?,?,22.5,82.125,?,40.0,1
47.0,38.5,?,?,?,22.5,80.25,?,39.75,1
47.0,39.0,?,56.0,50.125,22.75,81.625,?,39.625,1
46.75,39.125,?,56.0,49.375,22.125,81.625,?,40.0,1
?,38.875,15.75,?,49.25,22.25,80.875,?,39.5,1
?,38.875,15.75,57.5,?,22.75,81.0,?,39.375,1
46.0,?,?,?,50.75,22.75,81.875,?,?,1
46.0,39.25,16.125,59.25,51.0,?,81.5,27.375,39.75,1
46.25,39.625,?,?,?,?,82.0,?,40.125,1
?,39.625,?,56.875,?,22.75,82.375,?,40.0,1
46.0,38.875,?,?,50.0,22.5,81.625,26.125,39.875,1
46.375,39.0,16.5,?,?,?,81.625,26.875,40.125,1
46.75,39.25,?,?,51.375,22.75,82.125,?,39.875,1
46.875,38.75,16.75,?,51.25,23.0,82.375,?,40.0,1
48.375,38.125,17.375,?,51.375,?,83.25,27.75,41.125,1
48.875,38.375,17.75,?,52.875,24.625,84.75,28.0,42.0,1
48.375,39.75,?,?,54.375,25.125,85.125,27.75,43.25,1
48.25,39.875,17.625,?,56.375,25.25,85.0,?,43.25,0
48.125,39.875,17.125,?,?,?,85.25,?,42.5,0
47.75,?,17.5,?,53.5,25.875,84.0,27.5,?,1
48.0,39.25,?,56.375,52.5,26.5,81.75,26.75,41.5,1
47.75,?,17.75,?,?,26.25,81.125,26.375,41.625,1
48.125,38.875,17.875,?,?,27.0,80.875,?,41.75,1
47.875,38.5,?,56.5,53.75,27.0,80.875,?,41.375,1
48.375,38.25,17.625,?,?,26.375,82.0,26.5,41.375,1
49.375,38.75,17.75,?,54.25,26.25,82.625,?,41.25,1
49.0,?,17.75,57.0,54.625,?,83.0,26.375,41.875,1
49.5,40.0,17.75,56.5,53.75,25.75,82.125,?,41.0,1
48.5,40.0,?,56.5,?,25.5,81.0,27.125,41.0,1
48.75,41.25,?,56.5,?,25.25,80.25,?,41.5,1
46.875,41.625,17.5,?,51.0,?,80.5,?,42.5,1
?,41.625,17.5,55.625,50.0,25.0,79.625,26.875,41.375,1
45.75,40.25,?,55.25,?,25.25,80.0,27.125,42.25,1
45.375,40.875,18.125,55.625,?,25.875,80.25,?,41.5,1
45.5,?,17.75,?,52.0,25.5,80.0,?,42.375,1
?,41.875,17.875,55.875,50.375,25.375,?,27.875,42.125,1
46.0,42.75,18.0,56.375,52.625,25.5,79.75,27.625,42.375,1
?,42.5,17.875,?,53.375,25.375,?,?,42.0,1
45.0,42.125,?,?,53.75,?,79.375,27.5,41.75,1
44.625,42.25,17.625,?,54.0,?,80.125,27.75,42.25,1
?,42.875,18.375,56.5,?,?,79.5,?,42.125,1
44.375,41.75,18.25,56.125,?,?,79.75,?,42.5,1
45.125,42.0,17.75,56.375,?,26.125,?,26.875,42.125,1
45.5,42.25,17.875,?,?,?,81.75,?,?,1
?,43.75,18.0,57.0,58.5,?,84.0,?,44.0,1
45.625,44.125,?,?,59.5,27.25,82.875,?,?,1
45.625,?,18.0,?,?,27.625,84.25,?,?,1
45.25,44.0,?,?,?,?,83.5,?,44.25,1
44.875,?,18.5,?,59.0,?,84.0,27.25,?,0
43.75,44.375,18.75,?,57.25,29.75,84.25,27.375,?,0
43.25,44.5,19.25,?,?,?,84.375,27.0,44.0,0
43.75,44.125,19.0,?,53.0,?,84.25,26.875,44.5,0
43.875,44.5,19.125,?,50.875,29.375,83.5,26.625,44.5,0
44.0,44.5,19.125,?,?,?,84.25,26.75,45.125,0
43.625,?,19.125,?,?,?,83.5,26.125,45.125,0
44.375,43.0,?,?,55.0,29.875,82.875,?,?,0
46.5,44.625,19.75,?,57.0,30.0,85.0,26.625,?,0
46.375,45.0,19.75,?,57.125,?,84.75,27.125,45.625,1
45.25,44.0,19.5,?,56.375,29.0,84.75,?,44.75,0
45.5,44.0,19.5,56.75,54.25,?,84.875,27.125,44.875,1
45.5,43.625,?,55.625,54.0,?,84.375,27.5,44.375,1
46.25,43.5,?,?,53.625,29.5,84.125,27.5,44.25,1
46.5,43.75,19.5,?,53.75,29.375,83.0,27.0,?,1
46.75,44.0,19.625,?,?,29.25,?,26.25,44.875,1
46.375,44.125,19.75,?,52.75,29.25,84.0,26.25,?,1
?,?,?,57.0,53.375,29.0,84.625,?,45.0,1
46.25,?,20.0,?,?,29.0,84.375,26.875,44.125,1
46.75,44.25,?,57.375,?,?,?,26.375,?,1
47.5,?,19.625,?,?,?,85.75,26.25,43.25,1
46.25,44.25,19.0,?,48.75,?,86.5,?,43.25,1
45.375,44.25,18.125,?,51.25,?,87.0,?,42.5,1
45.875,46.75,19.0,58.625,?,?,87.25,25.5,42.75,1
48.25,44.125,?,57.5,54.0,?,85.875,26.0,42.75,0
48.625,42.375,19.125,?,?,?,85.375,26.625,?,0
48.625,42.375,19.0,?,?,?,84.625,26.75,44.125,0
48.75,41.75,?,?,51.125,?,83.5,26.5,43.625,0
49.0,?,18.875,?,51.0,28.0,83.375,?,42.875,0
50.125,?,18.875,?,?,27.75,83.625,26.25,?,0
50.0,41.0,18.375,53.25,55.25,?,?,26.5,43.5,0
49.75,42.5,18.375,?,55.625,28.0,82.0,?,43.375,0
49.625,42.5,18.5,?,?,27.5,80.25,?,43.0,0
50.5,?,18.625,?,56.125,27.625,80.125,26.375,43.5,0
52.125,42.125,19.125,?,57.75,27.375,?,26.375,43.25,0
52.375,42.25,?,54.0,59.75,27.0,81.25,?,43.625,1
51.75,?,19.125,?,57.875,?,81.375,?,43.25,1
51.125,41.875,?,52.625,56.125,?,80.875,26.375,?,1
?,41.125,19.125,51.75,54.125,26.875,81.0,?,42.125,1
49.875,41.125,?,52.0,54.75,?,80.375,27.125,42.375,1
48.625,40.75,19.0,?,?,22.875,80.75,?,42.375,1
?,?,19.375,?,55.125,22.0,?,26.875,42.875,1
49.375,?,19.5,51.875,55.875,21.75,81.5,?,?,0
49.0,41.125,19.75,53.0,57.625,?,81.875,?,42.375,0
50.0,40.75,19.75,?,58.625,22.5,80.0,26.0,42.25,1
?,40.875,?,52.75,57.625,?,?,?,42.375,1
49.75,41.75,20.125,52.75,57.125,23.125,78.375,26.5,41.75,1
50.25,?,19.75,52.5,59.125,24.0,79.0,26.75,42.25,1
50.875,49.5,19.75,?,59.5,24.75,80.0,26.625,42.0,1
50.625,48.75,20.0,?,62.0,24.5,79.5,26.5,42.375,1
50.375,46.25,19.375,52.25,61.875,23.5,78.625,26.625,41.875,1
50.75,46.375,19.625,50.875,64.625,23.25,?,?,40.75,1
50.625,46.625,19.625,?,64.625,?,75.0,26.25,41.25,1
50.125,47.0,?,?,62.75,22.875,74.5,?,40.625,1
?,47.0,19.5,49.5,60.875,?,75.625,25.5,40.5,1
