attr1,attr2,attr3,attr4,attr5,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr47,attr48,attr49,attr6,attr23,attr46,outcome
171.0,?,1724.29,?,176.0,?,?,2090.0,0.25,70.6,0.34,0.41,?,0.23,0.4,?,7.91,2.11,?,0.39,75.26,0.49,?,0.18,?,?,3.46,?,?,2.16,?,2.16,?,?,0.01,29.61,?,55.0,855.86,?,?,81.12,?,?,66.38,?,?,0.0,?,0
172.0,?,1345.0,?,?,?,?,?,?,73.9,0.24,0.28,?,?,?,34.54,?,1.98,?,0.27,75.26,?,?,0.18,9.24,0.91,?,?,-0.4,1.94,?,1.94,?,1080.0,0.01,?,?,55.0,?,?,?,113.39,?,?,66.13,?,130000,0.0,?,0
173.0,?,1571.13,?,164.0,35.3,?,2230.0,0.25,?,0.31,0.37,0.59,?,?,25.81,11.31,2.04,?,?,75.26,?,351.67,?,?,0.78,5.0,?,?,?,?,2.16,28.0,1890.0,0.01,?,?,55.0,460.98,316.23,229.03,95.45,?,?,?,?,167500,0.0,?,0
174.0,?,712.76,?,47.0,?,?,?,?,?,0.12,0.13,?,?,?,?,74.82,2.49,?,?,?,?,351.67,?,?,?,3.9,?,?,?,?,?,?,?,?,?,78.0,?,?,212.13,106.07,?,?,15726.03,?,6.65,?,0.0,?,0
177.0,?,1605.1,?,?,?,7.31,?,0.21,?,?,0.31,0.58,0.18,?,42.47,15.94,2.02,?,0.28,75.26,0.46,351.67,0.18,9.24,?,?,-3.07,-0.62,2.16,?,?,14.0,810.0,?,?,78.0,?,500.0,?,?,?,3.23,3692.68,?,7.86,130000,0.0,?,0
178.0,?,?,?,?,39.7,?,2260.0,0.24,?,0.29,0.36,?,?,0.56,?,?,2.29,0.24,?,75.26,?,351.67,?,?,0.51,3.65,?,?,?,?,?,?,?,?,26.88,78.0,55.0,?,?,?,104.52,?,?,66.11,?,?,0.0,0.0,0
?,74.0,1751.49,1095.38,119.0,?,?,2240.0,0.22,?,0.18,?,0.39,?,0.3,52.61,31.53,2.28,?,?,?,0.52,351.67,?,9.24,?,?,-3.49,?,?,?,?,?,1710.0,0.01,27.12,78.0,55.0,?,?,?,?,?,?,66.11,?,185000,0.0,?,0
181.0,?,?,?,58.0,?,?,?,0.15,78.5,?,?,0.35,0.14,0.22,?,?,?,?,?,75.26,?,351.67,0.18,?,0.48,?,-2.98,?,?,?,?,21.0,?,?,23.96,?,?,430.12,430.12,?,124.71,1.81,5277.95,66.12,?,?,?,?,0
182.0,114.0,1123.09,?,?,?,9.31,2280.0,0.27,125.0,?,?,0.74,?,0.63,?,?,1.97,?,?,?,0.45,?,?,9.24,1.99,?,-3.62,-0.51,?,0.0,2.19,?,?,?,18.24,?,?,?,?,?,117.4,?,27250.38,65.73,7.58,?,0.0,0.0,1
184.0,?,1565.97,?,?,?,?,?,0.2,87.2,?,0.3,?,0.18,0.34,69.31,?,1.94,?,?,75.26,?,?,0.18,?,0.4,?,?,?,?,?,1.94,?,1530.0,0.01,22.37,78.0,55.0,?,?,?,?,?,3671.85,?,7.83,?,0.0,?,0
?,?,1388.78,?,?,34.78,8.44,?,0.24,?,?,?,0.39,?,?,28.04,?,2.01,0.23,0.29,75.26,0.46,?,?,?,?,?,-2.96,?,1.94,0.0,?,27.0,?,0.01,?,78.0,55.0,?,?,178.61,111.67,?,?,66.17,?,?,0.0,?,0
186.0,51.0,1748.84,1563.45,?,?,7.79,1590.0,0.22,?,?,?,0.42,0.17,?,?,13.07,2.03,0.23,?,75.26,0.47,?,0.18,?,-0.39,2.18,-3.45,?,1.93,?,?,20.0,?,0.01,?,?,?,?,?,123.74,73.19,?,?,66.34,7.94,?,0.0,?,0
187.0,74.0,1564.49,?,136.0,37.01,8.88,?,0.24,?,?,0.3,?,?,0.24,56.04,?,2.14,?,0.29,75.26,?,351.67,0.18,9.24,1.13,4.21,?,-0.54,2.16,0.0,2.16,25.0,?,0.01,?,?,55.0,?,282.84,?,68.31,4.17,4560.84,?,7.65,185000,?,?,0
188.0,?,1682.62,1640.74,?,35.82,8.77,?,0.24,98.8,0.25,0.33,0.49,0.23,?,31.35,?,2.07,0.24,0.31,?,?,?,0.18,9.24,?,2.22,?,?,?,0.0,2.16,?,?,0.01,?,?,55.0,583.1,360.56,206.33,?,?,?,66.37,?,?,?,?,0
189.0,101.0,?,?,?,?,?,1950.0,0.23,?,?,?,0.44,0.11,0.33,65.95,20.59,?,?,?,?,?,351.67,0.18,?,?,3.38,-3.48,?,2.17,?,?,?,1260.0,0.0,?,78.0,55.0,777.82,353.55,?,95.35,?,?,?,?,?,0.0,?,0
?,?,1664.7,?,?,32.23,?,?,?,?,0.3,0.39,?,?,?,40.62,19.76,1.86,?,?,75.26,?,351.67,?,?,?,5.57,?,?,2.17,0.0,2.17,23.0,1350.0,?,?,?,55.0,502.49,?,?,?,1.96,4218.47,?,?,?,0.0,0.0,0
191.0,112.0,1574.55,?,134.0,?,13.23,2450.0,0.37,114.3,0.34,?,0.58,0.3,?,?,8.85,2.06,?,?,?,?,351.67,0.18,9.24,?,2.38,?,?,?,0.0,2.17,30.0,1800.0,0.01,21.44,78.0,55.0,565.69,?,300.52,82.38,1.88,?,66.16,7.85,280000,?,0.0,0
?,?,?,?,?,?,6.74,?,0.27,255.4,0.29,0.37,?,?,0.54,?,82.87,0.44,?,0.22,?,0.36,421.21,?,14.78,1.61,?,?,-0.07,1.96,?,1.96,?,10350.0,?,?,?,39.0,3448.19,1612.45,1209.38,249.81,2.85,15749.24,65.61,7.22,5685000,?,0.0,1
?,319.0,?,?,?,29.16,?,?,?,?,0.27,?,0.53,0.15,0.38,?,15.52,?,?,?,67.87,?,?,?,?,?,?,?,-0.33,?,?,2.17,65.0,3240.0,?,75.9,64.0,39.0,3010.4,?,196.51,95.2,?,?,65.88,?,?,?,?,0
3.0,4408.0,?,590.08,90.0,30.93,?,?,0.3,?,?,0.28,0.69,?,?,66.84,?,0.56,?,?,67.87,?,421.21,?,?,?,?,-2.98,-0.29,2.18,0.0,?,476.0,25470.0,0.0,202.33,64.0,39.0,3500.0,3850.0,3044.29,555.9,1.15,?,?,7.47,?,?,?,0
4.0,743.0,?,713.03,67.0,30.19,7.62,14040.0,?,?,0.25,0.31,0.5,?,0.38,47.75,?,0.54,?,?,?,?,?,1.83,?,0.17,?,?,-0.19,2.18,0.0,2.18,139.0,7290.0,?,106.12,64.0,39.0,3919.5,?,359.64,183.67,10.9,?,?,7.36,1857500,?,?,0
?,28526.0,1203.39,?,?,28.89,10.26,?,0.35,443.7,0.22,0.27,0.93,?,0.87,?,?,0.52,?,?,?,0.43,?,?,14.78,-0.39,3.6,?,-0.26,?,?,?,1695.0,95310.0,?,362.3,64.0,39.0,7274.96,7901.42,5852.2,1615.1,1.24,?,?,?,71315000,0.0,0.0,0
?,?,1232.9,73.49,90.0,?,?,?,?,340.5,0.24,0.29,0.7,?,0.6,78.55,28.62,0.57,?,?,67.87,?,?,?,?,?,?,?,?,?,0.0,2.24,346.0,19710.0,?,93.27,64.0,?,4650.0,4150.0,2247.85,1155.84,2.07,?,?,?,10815000,?,?,0
?,?,795.4,1240.82,71.0,?,5.63,?,0.19,?,0.26,0.28,?,?,0.27,?,15.57,?,0.24,0.28,?,0.44,421.21,?,?,0.19,?,-4.16,-0.19,?,?,?,29.0,?,0.01,48.74,64.0,39.0,1486.61,316.23,?,?,?,18827.22,66.01,6.91,?,?,?,0
8.0,?,1021.34,?,88.0,30.63,?,?,?,?,?,?,?,?,?,49.12,?,0.55,?,?,67.87,?,421.21,?,?,?,?,?,-0.18,1.94,?,?,97.0,?,?,73.76,64.0,39.0,3301.51,550.0,284.09,93.71,?,5621.68,65.87,?,?,?,1.0,0
?,2012.0,?,733.65,68.0,30.87,?,?,0.24,132.5,0.27,?,0.92,?,0.81,74.32,?,?,0.21,0.27,67.87,0.45,421.21,?,?,0.22,3.71,?,?,2.18,?,2.18,367.0,20700.0,0.0,286.47,64.0,39.0,6211.68,1903.94,1122.68,317.17,?,6237.14,?,7.62,5030000,0.0,0.0,0
?,1115.0,1290.31,636.15,?,?,8.69,?,0.29,201.6,0.29,0.35,0.77,?,0.63,60.01,?,?,?,?,?,0.45,?,?,?,?,3.41,?,?,2.18,0.0,?,152.0,8460.0,?,68.62,64.0,39.0,3447.1,1411.56,824.28,?,?,?,?,?,2787500,0.0,0.0,0
?,?,?,315.95,?,?,5.49,?,0.17,?,?,0.24,?,0.15,0.24,75.23,27.28,0.6,0.18,0.22,?,0.49,421.21,?,14.78,?,9.71,-3.01,-0.29,?,0.0,?,?,1620.0,0.01,46.15,64.0,39.0,?,212.13,?,77.45,?,8124.04,?,?,215000,0.0,?,0
?,58.0,?,?,?,?,5.9,2450.0,?,?,0.27,0.34,0.52,0.24,?,18.94,10.56,0.54,?,?,?,?,421.21,?,?,?,1.74,?,?,1.94,0.0,1.94,20.0,?,0.01,41.4,?,39.0,?,?,70.71,?,?,?,65.95,7.23,145000,?,?,0
15.0,?,?,287.42,?,?,?,?,0.27,?,0.28,0.35,0.65,?,?,?,24.18,0.47,0.19,0.26,?,0.39,?,?,?,?,?,-3.1,?,?,?,?,78.0,4140.0,0.0,?,?,39.0,2704.16,?,?,195.92,?,15742.59,65.58,7.29,1132500,?,0.0,1
?,166.0,1152.89,758.81,?,?,?,?,0.23,83.0,?,0.33,0.73,?,0.62,51.39,16.36,?,?,0.31,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,?,64.0,39.0,1882.15,?,182.33,?,10.32,5334.77,?,7.47,?,0.0,?,0
?,867.0,?,581.31,?,31.08,8.26,?,0.27,137.4,0.19,0.23,0.7,?,0.62,99.72,29.36,?,?,?,?,?,?,?,?,?,?,?,-0.23,2.18,0.0,2.18,164.0,9000.0,?,114.88,64.0,?,3146.82,1131.37,?,408.01,4.93,?,65.74,7.42,2167500,0.0,?,0
?,?,1139.46,?,?,?,9.06,?,?,162.8,0.28,?,0.68,?,0.53,69.8,22.46,0.59,0.21,0.27,67.87,?,421.21,?,?,0.09,?,-2.98,?,?,0.0,?,60.0,?,?,?,?,39.0,1811.77,921.95,423.38,243.51,4.28,9384.24,65.6,7.62,877500,?,?,0
23.0,?,1159.69,327.69,?,?,5.86,5200.0,?,?,0.31,0.38,0.57,?,0.39,28.87,?,?,0.25,0.33,?,?,?,1.83,?,?,2.61,-2.97,?,2.19,?,2.19,?,2790.0,0.01,?,64.0,39.0,?,?,?,?,?,7573.28,65.64,7.62,472500,?,?,0
?,772.0,1141.27,486.16,?,?,?,?,0.28,?,0.21,0.26,0.45,?,0.35,66.45,21.42,?,0.2,?,?,?,?,?,?,?,4.02,?,?,2.18,?,?,138.0,7830.0,?,85.29,64.0,39.0,?,1735.66,969.66,323.06,2.11,?,?,?,?,?,?,0
30.0,?,1048.59,618.22,?,29.17,?,6140.0,0.31,92.4,0.27,0.35,?,?,?,?,11.92,?,?,0.34,67.87,?,421.21,?,?,?,?,-3.0,-0.4,?,?,2.18,?,3600.0,0.01,66.43,64.0,39.0,1569.24,874.64,?,278.65,4.89,?,?,?,?,?,?,0
37.0,?,1351.19,138.78,?,?,?,2850.0,0.25,68.4,?,?,1.01,?,0.87,54.87,11.27,?,0.25,0.37,?,0.43,?,?,?,-0.33,1.95,-3.07,?,?,?,?,28.0,?,0.01,?,64.0,?,?,223.61,120.06,53.53,?,6950.66,?,?,195000,?,0.0,0
38.0,?,1119.23,?,115.0,?,6.83,?,?,152.5,?,?,0.6,?,0.52,126.31,40.32,?,?,0.2,?,0.48,?,?,?,?,3.24,-2.91,?,?,?,?,217.0,12330.0,?,131.81,64.0,39.0,3802.96,1431.78,?,341.35,5.22,?,?,7.45,?,?,0.0,0
?,?,?,255.38,?,?,?,?,?,?,0.19,?,0.33,?,?,51.76,?,0.6,0.18,0.23,?,0.49,421.21,1.83,?,?,?,-3.22,-0.2,?,?,1.97,21.0,1170.0,0.01,34.27,64.0,?,1096.59,158.11,?,?,12.14,?,65.61,?,162500,0.0,?,0
43.0,53.0,909.57,?,?,?,?,?,?,?,0.27,?,0.47,0.2,0.27,?,?,?,0.27,0.32,67.87,?,?,1.83,?,-0.36,1.74,?,?,?,?,2.17,?,?,0.0,31.72,64.0,39.0,921.95,141.42,?,44.78,?,8102.67,?,7.15,?,?,?,0
?,91.0,?,?,?,?,?,2210.0,0.25,?,?,0.36,?,?,?,28.41,?,?,0.24,0.34,67.87,?,?,?,?,?,2.16,-3.27,-0.15,2.16,0.0,2.16,?,900.0,?,21.47,64.0,39.0,?,353.55,212.13,89.44,?,?,?,7.09,?,0.0,?,0
?,?,1279.58,827.25,?,?,8.52,?,0.29,99.2,0.28,?,0.64,0.14,?,?,15.83,?,?,?,67.87,?,?,?,?,?,3.63,-3.08,?,?,0.0,?,48.0,2610.0,0.01,?,64.0,39.0,?,602.08,?,134.23,2.17,6083.1,65.89,?,?,?,?,0
50.0,51.0,1064.12,432.69,?,31.61,?,?,0.17,?,0.25,0.28,?,?,0.31,31.13,15.77,0.57,0.24,0.28,?,?,?,?,?,-0.85,?,?,-0.26,?,?,?,22.0,1170.0,?,?,64.0,39.0,?,?,35.36,36.38,?,6946.12,?,7.48,?,?,?,0
?,?,?,?,?,?,7.13,?,?,?,0.23,0.29,0.45,0.12,?,33.47,?,?,0.22,0.28,67.87,?,421.21,?,?,0.87,4.06,?,-0.15,1.94,?,1.94,36.0,?,0.01,51.26,64.0,39.0,1612.45,?,?,?,?,?,65.84,7.3,307500,0.0,?,0
56.0,?,?,?,91.0,32.04,?,?,0.18,?,0.2,?,?,?,0.26,47.1,?,0.58,?,?,?,?,?,?,?,-0.22,?,-3.12,?,?,0.0,?,40.0,2070.0,?,?,64.0,?,?,950.0,?,?,?,4920.93,65.93,7.5,?,0.0,?,0
?,?,?,638.63,?,33.32,?,?,?,?,?,0.31,0.76,0.1,0.66,?,36.36,0.6,?,?,?,?,421.21,?,?,?,2.85,-3.09,-0.29,?,0.0,?,?,1530.0,?,24.17,?,39.0,1104.54,502.49,268.3,136.95,?,?,65.78,7.48,362500,0.0,0.0,0
67.0,?,1261.36,?,?,?,7.73,3660.0,0.25,?,?,?,0.59,?,0.43,27.8,12.99,?,0.25,?,?,?,421.21,1.83,?,?,?,?,?,?,?,2.17,?,2340.0,0.01,?,64.0,?,1192.69,360.56,?,98.23,?,?,65.95,?,?,0.0,?,0
?,?,?,719.81,?,?,?,?,?,?,0.27,?,?,0.14,0.56,34.72,?,?,0.25,?,67.87,0.47,421.21,?,14.78,0.16,?,-3.1,-0.41,?,0.0,1.95,33.0,?,?,37.28,64.0,?,?,412.31,?,?,4.65,5066.66,65.81,7.38,?,0.0,0.0,0
70.0,?,1133.71,445.77,?,?,?,3020.0,?,?,?,0.25,?,?,0.31,94.58,?,?,?,?,67.87,0.45,?,?,?,-0.36,?,-2.92,-0.48,2.19,0.0,2.19,30.0,?,?,30.4,?,39.0,1000.0,500.0,?,152.27,3.54,5861.72,65.69,?,"3,00E+05",0.0,0.0,0
72.0,?,1238.74,473.91,?,?,6.49,3600.0,?,?,0.24,0.28,?,?,?,47.79,?,?,0.2,?,?,?,?,?,14.78,0.91,?,?,?,?,?,?,41.0,2160.0,0.01,34.56,64.0,39.0,?,360.56,242.94,75.96,5.02,?,?,?,?,?,0.0,0
?,?,1161.09,?,163.0,30.97,6.24,?,0.2,?,?,?,0.41,?,0.29,?,21.55,?,?,0.24,?,0.46,421.21,?,?,0.26,?,-2.96,?,2.17,0.0,?,?,3330.0,?,59.84,?,39.0,1154.34,996.24,505.41,?,2.28,4677.99,?,7.42,?,?,?,0
76.0,76.0,?,?,84.0,?,?,?,0.16,66.0,0.2,?,?,?,0.28,?,?,?,?,?,?,0.47,?,?,?,-0.07,2.17,-2.92,-0.28,?,?,2.17,35.0,?,0.01,?,?,39.0,?,304.14,?,?,?,?,?,?,?,0.0,0.0,0
81.0,195.0,1245.35,585.46,?,31.25,?,?,0.23,83.6,?,0.28,0.5,?,0.35,54.23,?,0.56,?,?,67.87,?,?,?,?,0.73,?,?,-0.27,?,?,?,65.0,?,?,69.72,64.0,39.0,?,901.39,423.51,309.49,2.87,6636.45,?,?,487500,?,0.0,0
?,?,881.82,958.68,?,?,4.43,1790.0,0.14,69.8,0.21,?,0.39,0.19,0.19,?,?,0.58,0.18,?,?,?,421.21,?,?,0.79,?,?,-0.39,1.94,0.0,1.94,?,990.0,0.01,?,64.0,39.0,?,200.0,?,38.81,5.12,?,65.89,7.1,125000,0.0,0.0,0
?,?,1126.53,?,73.0,?,7.74,9040.0,?,105.1,?,0.32,0.75,0.09,?,79.79,21.44,?,?,?,?,0.44,?,1.83,?,?,3.32,-3.03,-0.15,?,0.0,?,?,?,0.01,86.02,64.0,?,2466.78,632.46,297.99,?,8.28,4892.53,65.85,?,?,0.0,?,0
97.0,?,1289.87,81.32,?,31.11,9.12,?,?,?,?,?,0.64,?,0.49,36.93,?,?,0.25,0.34,?,0.46,?,?,?,0.59,2.95,-3.17,-0.32,?,?,?,42.0,2430.0,0.01,?,64.0,39.0,?,651.92,?,?,4.32,7005.85,?,?,370000,?,0.0,0
100.0,?,971.94,?,74.0,?,?,?,0.13,?,0.17,?,?,0.14,0.2,52.65,?,0.62,?,0.21,?,?,?,?,?,?,3.44,?,-0.35,2.17,?,?,36.0,1800.0,0.01,?,64.0,39.0,?,269.26,154.51,?,?,5903.61,?,7.25,?,?,0.0,0
103.0,?,1186.12,?,145.0,?,?,?,?,?,?,0.27,?,0.12,?,67.32,?,?,0.21,0.26,67.87,?,421.21,?,?,?,4.84,-3.81,?,?,?,?,?,5130.0,0.01,?,?,39.0,1081.67,970.82,?,260.23,1.76,?,65.94,7.43,535000,?,0.0,0
104.0,?,1256.1,38.27,153.0,?,8.68,5830.0,?,?,?,0.4,0.77,?,0.62,33.76,?,0.59,0.25,0.33,?,0.49,?,?,?,?,3.3,-2.98,?,2.24,?,?,58.0,?,0.01,50.35,64.0,39.0,1543.53,715.89,353.37,174.91,4.37,?,65.52,?,?,?,0.0,0
108.0,?,979.18,617.03,?,31.34,7.31,?,?,118.2,0.24,0.3,0.53,0.16,0.37,91.49,24.66,?,0.2,0.25,67.87,0.46,421.21,?,?,?,?,?,-0.26,1.95,0.0,?,?,4770.0,0.01,61.95,64.0,39.0,2102.97,?,?,150.02,5.76,7044.33,?,7.32,865000,?,?,0
109.0,281.0,?,777.3,100.0,?,?,6360.0,?,?,0.19,?,0.39,?,?,?,30.29,0.63,?,?,67.87,?,421.21,?,?,?,?,?,-0.2,2.18,0.0,?,78.0,4140.0,0.01,57.58,64.0,39.0,1874.17,559.02,350.18,?,?,4783.72,?,?,?,?,?,0
110.0,170.0,1311.73,?,?,?,6.98,?,0.23,?,?,0.33,0.54,?,0.39,39.73,?,?,?,0.29,?,?,421.21,?,?,?,3.3,-3.31,?,?,?,?,?,?,0.01,46.8,?,?,912.41,?,412.5,?,?,?,?,7.7,425000,0.0,0.0,0
111.0,?,475.53,?,101.0,37.91,?,8700.0,0.04,130.7,?,?,?,?,?,?,698.98,?,?,?,?,0.56,?,?,?,0.39,?,?,0.0,0.0,0.0,0.0,99.0,5670.0,?,?,64.0,39.0,1775.53,1068.88,?,304.55,?,19889.29,65.49,?,?,0.0,0.0,0
112.0,90.0,938.69,873.77,110.0,?,5.49,?,0.18,?,?,?,?,0.1,?,?,?,?,?,?,67.87,?,421.21,?,?,?,1.89,?,-0.31,1.94,?,1.94,36.0,?,0.01,43.26,64.0,39.0,?,?,159.92,?,5.64,6981.74,?,7.19,?,?,0.0,0
115.0,?,919.52,?,83.0,30.47,5.51,?,?,?,0.27,0.31,0.59,?,0.41,?,?,0.55,0.23,0.29,?,?,421.21,?,?,?,?,-3.45,?,2.17,?,?,24.0,?,?,29.36,64.0,39.0,?,403.11,?,115.7,?,?,?,?,?,?,?,0
117.0,?,1245.31,948.75,?,?,4.53,?,?,?,?,?,0.93,?,0.85,120.98,42.46,0.63,?,0.22,?,?,?,?,?,0.31,?,?,-0.2,1.94,?,1.94,?,1080.0,?,?,?,39.0,?,223.61,?,54.91,6.15,?,65.94,?,?,0.0,?,0
118.0,?,1313.18,?,61.0,?,?,?,0.24,131.0,0.27,0.31,?,?,?,43.09,19.81,?,?,?,67.87,?,?,?,?,-0.08,?,-3.29,-0.34,2.17,?,2.17,?,3780.0,0.0,?,64.0,39.0,1588.24,738.24,370.16,181.66,?,?,65.87,?,770000,0.0,0.0,0
125.0,?,1420.62,723.63,64.0,27.39,?,?,0.28,?,?,0.37,0.55,?,?,19.1,?,0.49,0.3,0.37,?,0.4,?,?,?,?,?,?,?,?,?,2.17,39.0,2340.0,?,?,64.0,?,?,?,?,142.63,?,?,65.86,?,190000,0.0,0.0,0
128.0,?,508.12,258.49,?,?,?,2410.0,?,?,?,0.07,?,?,?,?,383.88,?,?,?,67.87,0.55,421.21,?,?,0.86,?,?,?,1.97,0.0,?,31.0,1620.0,?,30.57,64.0,39.0,827.65,?,?,?,5.27,19959.22,65.52,6.93,190000,?,0.0,0
138.0,144.0,1341.72,78.22,110.0,?,?,?,?,77.4,0.22,?,0.56,0.12,?,86.5,20.89,?,?,?,?,0.46,?,?,?,?,?,?,?,1.99,0.0,?,53.0,?,?,60.06,64.0,39.0,?,254.95,147.3,?,?,?,65.55,?,?,0.0,1.0,0
?,369.0,1333.13,?,104.0,?,?,8630.0,0.24,?,?,0.35,0.83,0.08,?,52.15,?,0.53,?,?,?,?,421.21,?,?,?,3.35,?,-0.37,?,0.0,?,?,?,0.01,80.73,64.0,39.0,1443.09,1589.02,?,344.51,1.82,?,65.53,?,?,0.0,0.0,0
140.0,109.0,1264.54,?,83.0,29.83,?,2760.0,0.23,?,0.41,0.6,1.05,0.22,0.83,91.06,11.57,?,?,?,67.87,0.44,421.21,1.83,?,?,3.07,-3.11,?,?,0.0,2.17,?,?,0.01,27.95,64.0,39.0,1104.54,?,184.09,?,?,6127.67,?,7.6,?,0.0,?,0
156.0,?,?,833.29,111.0,?,7.95,?,0.26,114.4,0.23,?,?,?,?,?,?,?,?,?,67.87,?,?,?,?,?,2.86,-3.1,?,2.17,?,2.17,?,3960.0,0.01,49.63,64.0,?,?,632.46,307.02,161.45,5.93,?,65.86,7.36,650000,0.0,0.0,0
?,?,1007.46,?,?,31.81,8.22,?,0.26,?,0.23,0.27,?,0.12,0.37,68.46,?,?,?,?,67.87,?,421.21,?,?,?,?,?,?,2.18,0.0,?,75.0,?,?,65.28,64.0,39.0,2008.11,?,369.87,?,5.43,?,?,7.34,?,0.0,0.0,0
170.0,124.0,?,519.26,?,33.39,?,3010.0,0.23,103.0,0.19,0.23,0.41,?,0.32,74.36,?,0.6,?,?,?,?,421.21,1.83,?,?,?,-3.13,?,1.95,0.0,?,36.0,1890.0,?,?,64.0,39.0,?,?,265.47,99.13,3.16,?,?,7.5,?,?,?,0
?,69.0,1126.26,276.09,?,?,6.33,?,0.19,?,?,?,?,?,?,47.7,21.71,?,0.19,0.24,?,?,421.21,?,14.78,?,6.05,-3.04,-0.39,?,0.0,1.97,33.0,?,0.01,?,64.0,39.0,820.06,250.0,?,?,7.9,9098.69,?,7.6,?,0.0,?,0
175.0,211.0,1272.77,23.63,118.0,?,8.19,4560.0,?,115.7,0.28,0.32,?,?,?,52.82,16.01,0.54,0.23,?,?,0.44,421.21,?,?,?,3.85,-3.05,-0.19,2.01,0.0,?,62.0,?,0.01,39.42,64.0,39.0,?,626.5,?,130.87,?,8123.46,?,?,527500,0.0,0.0,0
?,?,985.78,803.14,?,?,?,?,?,?,0.22,0.26,?,0.12,?,?,20.55,0.57,0.2,0.26,?,0.46,421.21,?,?,?,?,-2.63,?,1.94,0.0,?,18.0,?,0.01,18.06,64.0,39.0,851.47,?,119.66,66.99,7.12,?,65.84,?,160000,?,0.0,0
181.0,67.0,?,871.49,80.0,?,9.68,?,?,?,0.36,0.39,0.56,0.19,0.38,29.0,?,?,0.32,0.4,?,?,421.21,?,?,3.01,15.05,?,-0.34,2.17,?,?,?,?,0.01,31.31,64.0,39.0,?,206.16,161.76,?,4.07,?,65.88,?,?,0.0,0.0,0
186.0,?,973.9,?,?,?,?,?,?,?,?,0.17,0.35,?,0.27,298.91,?,?,0.13,0.17,?,0.5,421.21,1.83,?,?,5.09,-2.78,-0.28,?,?,1.95,?,?,0.01,?,64.0,39.0,982.34,522.02,293.72,?,?,6032.93,65.82,7.26,?,0.0,0.0,0
191.0,?,1130.27,?,?,?,?,2790.0,0.1,70.8,?,?,?,?,?,149.3,?,0.64,?,?,67.87,0.53,421.21,?,?,?,?,?,?,?,?,2.17,?,2160.0,0.01,?,64.0,39.0,?,?,126.4,?,?,4880.84,65.86,7.42,197500,?,0.0,0
192.0,162.0,1178.77,?,99.0,?,?,4340.0,0.2,?,?,?,?,0.1,0.35,65.38,?,?,?,?,67.87,?,421.21,?,?,?,4.83,-3.36,-0.23,1.94,?,?,52.0,?,0.01,?,64.0,39.0,1265.9,?,227.86,?,5.56,5606.99,?,7.42,?,0.0,0.0,0
195.0,?,1048.4,?,?,35.8,?,?,0.17,?,?,?,?,?,?,120.88,57.3,0.64,?,0.16,?,?,?,?,?,0.31,5.06,?,-0.28,2.18,?,2.18,67.0,3960.0,?,60.02,?,39.0,?,1012.42,?,?,?,?,65.73,7.42,642500,?,0.0,0
196.0,68.0,1398.91,?,37.0,?,6.0,1930.0,?,?,0.27,0.35,0.57,?,?,?,?,0.54,?,?,67.87,?,421.21,?,?,0.13,?,?,-0.48,2.21,0.0,2.21,27.0,1440.0,0.01,?,64.0,39.0,?,282.84,165.83,95.35,?,?,?,?,170000,?,?,0
199.0,?,1191.43,?,?,?,?,?,0.24,?,0.24,?,?,?,?,31.3,10.08,0.49,0.24,?,?,?,421.21,?,14.78,?,2.3,?,?,1.95,0.0,1.95,?,?,?,25.35,64.0,39.0,600.0,200.0,?,?,4.8,?,65.68,7.62,?,?,0.0,0
201.0,116.0,1139.91,?,75.0,?,7.43,?,?,96.3,0.16,?,?,?,0.25,72.95,?,0.63,?,?,67.87,?,421.21,1.83,14.78,?,4.88,-2.78,?,?,?,?,34.0,1890.0,?,?,64.0,39.0,?,412.31,?,100.86,?,?,65.85,7.44,?,?,0.0,0
206.0,?,?,854.31,?,?,5.61,?,?,87.5,0.24,?,?,0.12,?,?,?,0.56,?,?,?,?,421.21,?,?,?,?,?,-0.34,?,0.0,?,?,1890.0,?,?,64.0,39.0,886.0,?,?,96.68,?,?,?,?,?,0.0,0.0,0
207.0,118.0,1140.05,960.49,177.0,?,?,3000.0,?,?,?,0.34,0.6,?,0.46,53.95,18.53,0.56,?,?,?,?,421.21,?,?,?,2.94,-2.91,?,?,0.0,2.17,?,?,?,30.51,?,39.0,951.31,?,265.79,?,?,5201.15,65.93,7.38,295000,0.0,0.0,0
208.0,53.0,1893.08,1601.11,?,?,4.18,?,?,?,?,?,?,?,?,62.12,?,?,?,?,67.87,?,421.21,?,?,?,2.0,-2.44,?,2.16,0.0,2.16,12.0,?,0.01,14.79,64.0,39.0,430.12,250.0,?,?,2.17,9120.29,66.32,8.01,?,0.0,0.0,0
?,72.0,1083.69,532.86,?,33.96,?,1900.0,0.17,94.7,?,?,?,?,?,88.72,33.87,?,0.16,0.19,67.87,?,?,?,?,?,4.33,-3.16,?,?,?,2.18,20.0,?,0.01,20.06,64.0,39.0,?,?,195.19,?,?,?,65.72,7.47,?,?,0.0,0
