FICE,State,Public/private_indicator,Average_Math_SAT_score,Average_Verbal_SAT_score,Average_Combined_SAT_score,Average_ACT_score,First_quartile-Math_SAT,Third_quartile-Math_SAT,First_quartile-Verbal_SAT,Third_quartile-Verbal_SAT,First_quartile-ACT,Third_quartile-ACT,Number_of_applications_received,Number_of_applicants_accepted,Number_of_new_students_enrolled,Pct._new_students_from_top_10Perc_of_H.S._class,Pct._new_students_from_top_25Perc_of_H.S._class,Number_of_fulltime_undergraduates,Number_of_parttime_undergraduates,In-state_tuition,Out-of-state_tuition,Room_and_board_costs,Room_costs,Board_costs,Additional_fees,Estimated_book_costs,Estimated_personal_spending,Pct._of_faculty_with_Ph.D.s,Pct._of_faculty_with_terminal_degree,Student/faculty_ratio,Pct.alumni_who_donate,Instructional_expenditure_per_student,binaryClass
1349,CO,1,480.0,440.0,920.0,22.0,420.0,540.0,380.0,480.0,19.0,24.0,5530.0,4007.0,1697.0,12.0,37.0,8463.0,1498.0,1829.0,7731.0,4128.0,?,?,398.0,540.0,2286.0,75.0,75.0,215.0,8.0,6309.0,1
1692,IL,1,?,?,?,22.0,?,?,?,?,19.0,25.0,8681.0,6695.0,2408.0,10.0,35.0,15701.0,1823.0,2600.0,7799.0,3403.0,3403.0,?,815.0,537.0,2605.0,77.0,84.0,210.0,16.0,5569.0,1
3242,PA,2,679.0,555.0,1234.0,28.0,630.0,740.0,500.0,620.0,26.0,31.0,8728.0,5201.0,1191.0,60.0,89.0,4265.0,291.0,17900.0,17900.0,5690.0,3520.0,2170.0,100.0,450.0,1250.0,86.0,93.0,92.0,31.0,24386.0,0
2836,NY,1,615.0,533.0,1148.0,26.0,570.0,670.0,480.0,580.0,?,?,14463.0,6166.0,1757.0,60.0,94.0,8544.0,671.0,2650.0,6550.0,4598.0,2690.0,1908.0,360.0,700.0,1000.0,83.0,100.0,180.0,15.0,8055.0,0
1403,CT,2,480.0,420.0,900.0,?,440.0,540.0,400.0,490.0,?,?,2307.0,1896.0,509.0,19.0,51.0,1707.0,1889.0,11070.0,11070.0,5780.0,4090.0,1690.0,320.0,400.0,600.0,71.0,73.0,148.0,16.0,7120.0,0
1302,CA,2,549.0,483.0,1032.0,?,501.0,598.0,432.0,538.0,?,?,2643.0,1611.0,465.0,36.0,80.0,2615.0,248.0,13332.0,13332.0,6354.0,3177.0,3177.0,120.0,630.0,1584.0,88.0,89.0,161.0,17.0,9619.0,0
3665,TX,1,450.0,440.0,890.0,21.0,?,?,?,?,?,?,1950.0,1506.0,1023.0,7.0,35.0,4111.0,1301.0,672.0,4104.0,2706.0,1246.0,1460.0,626.0,500.0,?,70.0,73.0,219.0,10.0,4717.0,1
2480,MO,2,435.0,435.0,870.0,22.0,400.0,500.0,400.0,500.0,19.0,23.0,810.0,484.0,356.0,6.0,33.0,2155.0,191.0,9200.0,9200.0,4800.0,2400.0,2400.0,200.0,1000.0,4200.0,65.0,85.0,241.0,9.0,3480.0,0
2354,MN,2,575.0,535.0,1110.0,25.0,520.0,620.0,460.0,610.0,22.0,28.0,1006.0,825.0,328.0,34.0,73.0,1362.0,102.0,13252.0,13252.0,4194.0,2026.0,2168.0,156.0,450.0,550.0,89.0,93.0,130.0,33.0,10296.0,0
1804,IN,2,487.0,432.0,919.0,21.0,400.0,570.0,370.0,490.0,18.0,25.0,1487.0,1276.0,388.0,26.0,51.0,1417.0,1646.0,11120.0,11120.0,4080.0,4080.0,?,30.0,525.0,1405.0,55.0,56.0,111.0,23.0,6735.0,0
1605,HI,2,450.0,400.0,850.0,19.0,?,?,?,?,?,?,621.0,546.0,103.0,?,?,766.0,1154.0,10600.0,10600.0,5490.0,2720.0,2770.0,?,700.0,800.0,63.0,67.0,141.0,?,5073.0,0
2039,ME,2,610.0,560.0,1170.0,26.0,570.0,600.0,520.0,660.0,25.0,29.0,2848.0,1319.0,456.0,58.0,84.0,1720.0,35.0,18930.0,18930.0,5590.0,2890.0,2700.0,900.0,500.0,1000.0,83.0,94.0,102.0,41.0,15954.0,0
1094,AR,2,?,?,?,?,?,?,?,?,17.0,21.0,218.0,215.0,126.0,15.0,55.0,570.0,59.0,4800.0,4800.0,2850.0,1650.0,1200.0,120.0,400.0,2000.0,49.0,51.0,128.0,?,8177.0,0
29013,CT,1,551.0,481.0,1032.0,?,490.0,610.0,430.0,530.0,?,?,9735.0,7187.0,2064.0,23.0,63.0,12478.0,1660.0,3824.0,11656.0,5072.0,2552.0,2520.0,888.0,700.0,2300.0,89.0,95.0,160.0,16.0,10178.0,0
2272,MI,2,550.0,520.0,1070.0,24.0,490.0,600.0,470.0,580.0,21.0,26.0,920.0,745.0,347.0,35.0,66.0,1133.0,42.0,11090.0,11090.0,4700.0,2600.0,2100.0,210.0,400.0,750.0,80.0,80.0,120.0,31.0,12639.0,0
2106,MD,1,380.0,359.0,739.0,?,?,?,?,?,?,?,1600.0,1016.0,508.0,?,?,2067.0,199.0,2674.0,7014.0,3580.0,2080.0,1500.0,?,500.0,?,56.0,60.0,178.0,?,5191.0,1
1707,IL,2,?,?,?,20.0,?,?,?,?,19.0,23.0,1154.0,1050.0,395.0,12.0,31.0,2192.0,1423.0,10560.0,10560.0,4520.0,2030.0,2490.0,?,500.0,1200.0,36.0,48.0,143.0,10.0,7701.0,0
3367,PA,2,545.0,498.0,1041.0,?,490.0,590.0,450.0,550.0,?,?,2519.0,2003.0,776.0,39.0,71.0,2473.0,1314.0,12750.0,12750.0,6350.0,?,?,275.0,350.0,1690.0,84.0,90.0,174.0,13.0,8243.0,0
2193,MA,2,?,?,?,?,?,?,?,?,?,?,4750.0,4041.0,795.0,?,?,1501.0,334.0,9810.0,9810.0,6890.0,6890.0,?,290.0,300.0,?,32.0,69.0,135.0,3.0,5025.0,0
1824,IN,2,?,?,?,?,?,?,?,?,?,?,495.0,465.0,275.0,18.0,35.0,695.0,193.0,7620.0,7260.0,2984.0,998.0,1986.0,186.0,740.0,900.0,41.0,41.0,115.0,?,5514.0,0
2598,NJ,2,478.0,441.0,919.0,?,440.0,540.0,400.0,490.0,?,?,1011.0,604.0,213.0,17.0,42.0,693.0,868.0,8900.0,8900.0,4600.0,?,?,105.0,425.0,1000.0,87.0,96.0,139.0,25.0,7922.0,1
2631,NJ,1,529.0,459.0,988.0,?,480.0,580.0,400.0,510.0,?,?,5785.0,2690.0,499.0,26.0,62.0,4005.0,1886.0,3640.0,7410.0,4748.0,2780.0,1968.0,978.0,690.0,2009.0,90.0,95.0,174.0,16.0,11878.0,1
1927,KS,1,?,?,?,20.0,?,?,?,?,18.0,23.0,1256.0,1256.0,853.0,43.0,79.0,3957.0,588.0,1729.0,5401.0,3144.0,1512.0,1632.0,?,450.0,1888.0,72.0,75.0,193.0,4.0,5527.0,1
2699,NY,2,612.0,518.0,1130.0,?,570.0,660.0,450.0,580.0,?,?,2174.0,1953.0,557.0,35.0,68.0,2332.0,53.0,15960.0,15960.0,5580.0,2622.0,2958.0,323.0,700.0,1300.0,95.0,95.0,158.0,32.0,11659.0,0
2584,NH,2,439.0,430.0,815.0,?,340.0,490.0,330.0,470.0,?,?,379.0,324.0,107.0,15.0,37.0,500.0,311.0,9990.0,9990.0,4900.0,2650.0,2250.0,280.0,400.0,600.0,44.0,47.0,121.0,26.0,4948.0,1
2502,MO,2,?,?,?,23.0,?,?,?,?,17.0,25.0,1093.0,1093.0,642.0,12.0,32.0,1770.0,967.0,7070.0,7070.0,2500.0,1170.0,1330.0,152.0,400.0,1000.0,52.0,54.0,159.0,13.0,4718.0,0
3110,OH,2,?,?,?,24.0,?,?,?,?,21.0,26.0,1496.0,1205.0,428.0,26.0,57.0,1648.0,936.0,12888.0,12888.0,4440.0,?,?,?,420.0,840.0,62.0,68.0,139.0,30.0,8802.0,0
2185,MA,1,474.0,437.0,911.0,?,?,?,?,?,?,?,4141.0,2316.0,586.0,7.0,28.0,3248.0,1969.0,1380.0,5244.0,3366.0,2110.0,1256.0,1796.0,500.0,600.0,68.0,68.0,212.0,?,?,0
1431,DE,2,?,?,1035.0,?,500.0,610.0,450.0,530.0,?,?,14446.0,10516.0,3252.0,22.0,57.0,14130.0,4522.0,3690.0,10220.0,4230.0,2280.0,1950.0,410.0,530.0,1300.0,82.0,87.0,183.0,15.0,10650.0,0
3736,VA,2,532.0,487.0,1019.0,?,470.0,580.0,430.0,535.0,?,?,2227.0,1790.0,437.0,27.0,54.0,1460.0,239.0,13425.0,13425.0,4425.0,?,?,?,450.0,1200.0,85.0,89.0,130.0,26.0,9405.0,0
3420,SC,2,?,?,?,?,?,?,?,?,?,?,1622.0,1472.0,341.0,?,?,1203.0,63.0,5210.0,5210.0,2992.0,?,?,425.0,120.0,2200.0,44.0,49.0,146.0,11.0,5360.0,1
2441,MS,1,531.0,449.0,980.0,22.0,?,?,?,?,18.0,24.0,2850.0,2044.0,1046.0,20.0,50.0,9260.0,1387.0,2392.0,4652.0,2470.0,1120.0,1350.0,?,500.0,500.0,78.0,99.0,187.0,23.0,5917.0,1
1486,FL,2,?,?,?,?,?,?,?,?,?,?,2400.0,1800.0,557.0,?,?,1312.0,176.0,4160.0,4160.0,3190.0,1680.0,1510.0,780.0,500.0,1000.0,38.0,39.0,171.0,3.0,5304.0,1
1694,IL,1,?,?,?,18.0,?,?,?,?,15.0,18.0,3553.0,1719.0,777.0,12.0,37.0,4543.0,2694.0,1848.0,5544.0,?,?,?,350.0,650.0,2400.0,47.0,81.0,156.0,?,6195.0,1
3592,TX,1,?,?,?,?,?,?,?,?,?,?,1597.0,1125.0,751.0,?,?,3404.0,1734.0,840.0,5130.0,3436.0,1800.0,1636.0,896.0,630.0,1838.0,95.0,97.0,216.0,7.0,4001.0,1
3564,TX,2,?,?,?,21.0,?,?,?,?,18.0,24.0,379.0,341.0,265.0,10.0,36.0,1050.0,151.0,4950.0,4950.0,2780.0,1040.0,1740.0,470.0,530.0,1500.0,62.0,62.0,157.0,7.0,5619.0,1
3290,PA,1,399.0,375.0,774.0,?,367.0,416.0,350.0,377.0,?,?,1660.0,1091.0,326.0,15.0,41.0,1196.0,33.0,3020.0,4818.0,3400.0,1750.0,1650.0,375.0,350.0,1400.0,71.0,72.0,126.0,8.0,10912.0,1
2380,MN,2,?,?,?,21.0,?,?,?,?,18.0,24.0,876.0,802.0,367.0,14.0,35.0,1263.0,118.0,10800.0,10800.0,3600.0,1700.0,1900.0,100.0,400.0,820.0,68.0,74.0,188.0,19.0,5081.0,0
2608,NJ,2,474.0,441.0,915.0,?,420.0,520.0,400.0,475.0,?,?,348.0,281.0,127.0,12.0,52.0,1095.0,785.0,9150.0,9150.0,3950.0,1750.0,2200.0,130.0,500.0,800.0,56.0,59.0,122.0,27.0,7348.0,0
3315,PA,1,524.0,465.0,989.0,?,480.0,570.0,420.0,500.0,?,?,6773.0,3028.0,1025.0,15.0,55.0,5847.0,946.0,3086.0,7844.0,2948.0,1650.0,1298.0,608.0,500.0,1680.0,66.0,68.0,180.0,19.0,7041.0,0
3245,PA,2,483.0,495.0,968.0,?,425.0,550.0,430.0,550.0,?,?,342.0,254.0,126.0,25.0,64.0,518.0,232.0,10335.0,10335.0,5015.0,?,?,260.0,700.0,850.0,71.0,71.0,83.0,29.0,7729.0,0
3072,OH,2,479.0,433.0,912.0,21.0,410.0,560.0,380.0,490.0,19.0,24.0,874.0,758.0,428.0,21.0,46.0,1605.0,246.0,9858.0,9858.0,3700.0,2020.0,1680.0,135.0,450.0,1200.0,42.0,45.0,176.0,16.0,4796.0,1
2688,NY,1,488.0,405.0,893.0,?,400.0,570.0,310.0,480.0,?,?,3788.0,2747.0,1269.0,20.0,45.0,8071.0,3629.0,2450.0,5050.0,?,?,?,93.0,500.0,?,78.0,88.0,128.0,10.0,9002.0,1
1869,IA,1,?,?,?,?,530.0,640.0,380.0,460.0,22.0,27.0,8427.0,7424.0,3441.0,26.0,59.0,18676.0,1715.0,2291.0,7550.0,3224.0,3224.0,?,162.0,640.0,2055.0,81.0,88.0,192.0,22.0,8420.0,0
2920,NC,2,687.0,615.0,1302.0,30.0,640.0,740.0,570.0,670.0,28.0,32.0,13789.0,3893.0,1583.0,90.0,98.0,6188.0,53.0,18590.0,18590.0,5950.0,2996.0,2954.0,480.0,625.0,1162.0,95.0,96.0,50.0,44.0,27206.0,0
3498,TN,2,?,?,?,22.0,?,?,?,?,?,?,831.0,538.0,224.0,15.0,35.0,840.0,325.0,5170.0,5170.0,3430.0,1400.0,2030.0,210.0,600.0,1590.0,61.0,61.0,161.0,10.0,5531.0,1
2503,MO,1,?,?,?,22.0,?,?,?,?,?,?,6118.0,5254.0,3204.0,15.0,37.0,13131.0,3374.0,2370.0,4740.0,2590.0,880.0,1710.0,166.0,500.0,1360.0,70.0,75.0,199.0,11.0,4632.0,1
9168,OH,1,?,?,?,?,330.0,530.0,300.0,480.0,18.0,23.0,?,?,?,11.0,30.0,9967.0,3732.0,?,?,?,?,?,?,?,?,80.0,80.0,81.0,?,8133.0,0
3683,VT,1,459.0,416.0,875.0,21.0,385.0,532.0,370.0,485.0,?,?,1257.0,940.0,363.0,9.0,22.0,1547.0,294.0,3660.0,7656.0,4690.0,2598.0,2092.0,570.0,400.0,700.0,89.0,91.0,147.0,8.0,6318.0,0
1133,CA,2,495.0,436.0,931.0,21.0,430.0,560.0,370.0,490.0,19.0,24.0,563.0,247.0,247.0,23.0,52.0,1427.0,432.0,12950.0,12950.0,5300.0,5300.0,?,215.0,612.0,576.0,72.0,74.0,124.0,17.0,8985.0,1
3733,VA,2,533.0,483.0,1016.0,?,480.0,580.0,430.0,520.0,?,?,1771.0,1325.0,306.0,21.0,46.0,1071.0,27.0,13840.0,13840.0,3735.0,1850.0,1885.0,325.0,400.0,900.0,77.0,80.0,107.0,38.0,11080.0,0
1821,IN,2,455.0,412.0,867.0,?,400.0,530.0,380.0,460.0,?,?,770.0,542.0,238.0,15.0,42.0,923.0,427.0,9990.0,9990.0,3822.0,3822.0,?,164.0,450.0,1540.0,38.0,46.0,104.0,?,7799.0,0
1315,CA,1,621.0,520.0,1141.0,?,558.0,700.0,460.0,590.0,?,?,22165.0,10435.0,3591.0,93.0,100.0,21637.0,1255.0,?,7689.0,5580.0,?,?,3894.0,850.0,1255.0,97.0,99.0,118.0,9.0,20260.0,0
1588,GA,2,499.0,452.0,951.0,?,?,?,?,?,?,?,663.0,562.0,127.0,20.0,40.0,641.0,63.0,5640.0,5640.0,3620.0,1670.0,1680.0,?,600.0,750.0,89.0,89.0,132.0,17.0,7309.0,1
3765,VA,1,?,?,?,?,?,?,?,?,?,?,4066.0,3891.0,1358.0,?,?,6640.0,972.0,2782.0,6276.0,3600.0,2100.0,1500.0,35.0,350.0,2000.0,57.0,57.0,158.0,?,5000.0,0
12826,TX,1,?,?,?,?,?,?,?,?,?,?,1541.0,1541.0,1108.0,?,?,3357.0,4701.0,672.0,4104.0,?,?,?,328.0,500.0,2585.0,75.0,76.0,206.0,1.0,4079.0,1
3492,TN,2,485.0,458.0,943.0,22.0,?,?,?,?,19.0,25.0,895.0,548.0,314.0,20.0,54.0,1174.0,50.0,5500.0,5500.0,3340.0,1590.0,1750.0,770.0,600.0,1600.0,68.0,76.0,161.0,13.0,6078.0,0
1825,IN,1,545.0,453.0,998.0,24.0,470.0,620.0,390.0,510.0,22.0,27.0,21804.0,18744.0,5874.0,29.0,60.0,26213.0,4065.0,2884.0,9556.0,3990.0,?,?,?,570.0,1060.0,86.0,86.0,182.0,15.0,8604.0,0
1963,KY,1,?,?,?,19.0,?,?,?,?,?,?,5443.0,5135.0,2445.0,?,?,11208.0,3350.0,1700.0,4700.0,3196.0,1960.0,1236.0,?,600.0,?,82.0,82.0,198.0,?,5394.0,1
3134,OH,2,434.0,404.0,838.0,21.0,340.0,540.0,330.0,490.0,18.0,20.0,325.0,260.0,86.0,21.0,47.0,699.0,717.0,9600.0,9600.0,4202.0,2270.0,1932.0,210.0,450.0,750.0,39.0,69.0,105.0,15.0,7164.0,0
2882,NY,2,?,?,?,?,520.0,640.0,450.0,560.0,?,?,10477.0,7260.0,2442.0,28.0,67.0,10142.0,117.0,15150.0,15150.0,6870.0,3620.0,3250.0,360.0,635.0,960.0,73.0,84.0,113.0,13.0,14231.0,0
3884,WI,2,557.0,513.0,1070.0,24.0,500.0,640.0,470.0,580.0,22.0,27.0,587.0,501.0,211.0,28.0,52.0,735.0,28.0,15200.0,15200.0,4100.0,1840.0,2260.0,190.0,350.0,650.0,87.0,90.0,94.0,49.0,12472.0,0
1578,GA,2,449.0,405.0,780.0,?,?,?,?,?,?,?,544.0,399.0,177.0,15.0,35.0,600.0,363.0,6987.0,6987.0,3585.0,?,?,285.0,750.0,1500.0,77.0,83.0,125.0,12.0,9067.0,0
6964,NJ,1,594.0,513.0,1107.0,?,530.0,660.0,460.0,570.0,?,?,48094.0,26330.0,4520.0,36.0,79.0,21401.0,3712.0,3640.0,7410.0,4748.0,2780.0,1986.0,1003.0,690.0,2009.0,90.0,95.0,195.0,19.0,10474.0,0
1946,KS,2,?,?,?,22.0,?,?,?,?,?,?,257.0,183.0,109.0,19.0,41.0,396.0,38.0,7850.0,7850.0,3410.0,2010.0,1400.0,200.0,400.0,1500.0,55.0,70.0,100.0,15.0,7233.0,1
2968,NC,2,406.0,407.0,813.0,?,?,?,?,?,?,?,3113.0,1786.0,457.0,24.0,49.0,1614.0,131.0,3850.0,3850.0,3200.0,1924.0,1276.0,?,?,?,43.0,65.0,140.0,?,?,1
3422,SC,2,429.0,384.0,813.0,18.0,?,?,?,?,?,?,174.0,146.0,88.0,8.0,29.0,1047.0,33.0,8300.0,8300.0,3080.0,1000.0,2080.0,200.0,600.0,600.0,62.0,62.0,152.0,18.0,3365.0,1
2589,NH,1,536.0,476.0,1012.0,?,480.0,600.0,430.0,530.0,?,?,9750.0,7640.0,2529.0,24.0,62.0,10358.0,1338.0,3550.0,11180.0,3862.0,1648.0,2214.0,830.0,650.0,2450.0,89.0,87.0,175.0,16.0,7855.0,0
3645,TX,2,426.0,415.0,841.0,20.0,400.0,540.0,360.0,480.0,18.0,23.0,592.0,501.0,279.0,19.0,44.0,1204.0,392.0,6400.0,6400.0,3484.0,3484.0,?,390.0,600.0,1800.0,80.0,83.0,145.0,10.0,7936.0,1
1085,AR,1,?,?,?,?,?,?,?,?,?,?,826.0,794.0,662.0,?,?,4539.0,357.0,1536.0,3552.0,2310.0,840.0,1470.0,84.0,500.0,2800.0,54.0,54.0,426.0,?,2033.0,0
2909,NC,2,320.0,280.0,600.0,?,220.0,370.0,200.0,330.0,11.0,18.0,933.0,933.0,480.0,6.0,16.0,704.0,?,4045.0,4045.0,2795.0,1329.0,1466.0,295.0,736.0,2100.0,50.0,50.0,135.0,8.0,4431.0,1
2067,MD,2,?,?,?,?,360.0,590.0,370.0,490.0,17.0,23.0,1301.0,957.0,101.0,13.0,34.0,514.0,466.0,9500.0,9500.0,3450.0,1950.0,1500.0,260.0,700.0,?,47.0,49.0,139.0,?,9431.0,0
3637,TX,2,341.0,316.0,657.0,11.0,?,?,?,?,?,?,575.0,482.0,206.0,9.0,18.0,542.0,9.0,3750.0,3750.0,3060.0,1550.0,1510.0,285.0,350.0,?,48.0,48.0,121.0,?,?,1
9741,TX,1,632.0,556.0,1188.0,27.0,580.0,690.0,480.0,640.0,24.0,30.0,1089.0,780.0,410.0,46.0,79.0,2106.0,2919.0,784.0,4536.0,4953.0,?,?,724.0,645.0,2979.0,91.0,96.0,208.0,?,9094.0,0
1710,IL,2,529.0,482.0,1011.0,24.0,470.0,590.0,430.0,540.0,21.0,26.0,3579.0,2959.0,868.0,25.0,55.0,5244.0,3417.0,11500.0,11500.0,5330.0,?,?,350.0,700.0,2000.0,94.0,95.0,62.0,15.0,13009.0,0
1915,KS,1,?,?,?,?,?,?,?,?,?,?,1363.0,1363.0,806.0,?,33.0,3640.0,706.0,1734.0,4869.0,2950.0,2950.0,?,?,500.0,?,65.0,68.0,181.0,?,5804.0,1
2461,MO,2,?,?,?,25.0,?,?,?,?,22.0,27.0,700.0,650.0,314.0,33.0,66.0,1065.0,48.0,8730.0,8730.0,3523.0,1824.0,1699.0,272.0,500.0,750.0,82.0,92.0,132.0,35.0,9303.0,0
1172,CA,2,590.0,560.0,1150.0,26.0,540.0,630.0,530.0,610.0,24.0,29.0,1133.0,630.0,220.0,37.0,73.0,750.0,30.0,17688.0,17688.0,5900.0,3192.0,2708.0,1548.0,650.0,850.0,100.0,100.0,104.0,11.0,14820.0,0
1960,KY,2,?,?,?,20.0,?,?,?,?,?,?,283.0,201.0,97.0,10.0,45.0,589.0,263.0,8400.0,8400.0,2800.0,?,?,96.0,600.0,900.0,50.0,56.0,106.0,40.0,6860.0,0
1871,IA,2,?,?,?,21.0,?,?,?,?,?,?,443.0,291.0,127.0,11.0,44.0,563.0,427.0,9850.0,9850.0,3400.0,1900.0,1500.0,?,500.0,?,45.0,50.0,172.0,?,7349.0,0
3428,SC,1,532.0,489.0,1019.0,22.0,480.0,580.0,440.0,530.0,20.0,24.0,4772.0,3140.0,1265.0,22.0,55.0,6851.0,1200.0,3060.0,6120.0,3460.0,2200.0,1260.0,?,666.0,2316.0,73.0,78.0,172.0,18.0,4776.0,1
6791,NY,1,486.0,466.0,952.0,?,420.0,560.0,390.0,540.0,?,?,2119.0,1264.0,390.0,5.0,33.0,2478.0,1441.0,2650.0,6550.0,4760.0,2990.0,1770.0,367.0,1125.0,1362.0,80.0,100.0,149.0,8.0,8170.0,1
2945,NC,2,?,?,?,?,430.0,540.0,400.0,490.0,?,?,857.0,772.0,376.0,25.0,58.0,1721.0,470.0,6720.0,6720.0,3250.0,?,?,?,450.0,1520.0,77.0,82.0,139.0,33.0,6881.0,0
2994,ND,1,?,?,?,21.0,?,?,?,?,?,?,681.0,681.0,681.0,?,?,3299.0,602.0,1711.0,4260.0,1912.0,724.0,1188.0,?,600.0,1893.0,44.0,44.0,201.0,?,4076.0,0
3212,OR,2,542.0,479.0,1021.0,24.0,470.0,600.0,430.0,510.0,22.0,27.0,943.0,849.0,288.0,41.0,71.0,1041.0,35.0,14210.0,14210.0,3994.0,1764.0,2230.0,225.0,450.0,1100.0,76.0,76.0,109.0,22.0,11216.0,1
2918,NC,2,650.0,580.0,1230.0,29.0,600.0,700.0,530.0,630.0,27.0,31.0,2373.0,956.0,452.0,77.0,96.0,1601.0,6.0,17295.0,17295.0,5070.0,2650.0,2420.0,169.0,600.0,1011.0,95.0,97.0,120.0,46.0,17581.0,0
2979,NC,2,?,?,?,?,440.0,580.0,440.0,570.0,20.0,26.0,440.0,311.0,112.0,25.0,49.0,466.0,7.0,10000.0,10000.0,3052.0,?,?,515.0,400.0,1100.0,65.0,75.0,114.0,20.0,9430.0,0
1856,IA,2,560.0,510.0,1070.0,25.0,500.0,620.0,450.0,590.0,23.0,28.0,1538.0,1329.0,383.0,33.0,68.0,1140.0,10.0,15248.0,15248.0,4323.0,1978.0,2345.0,125.0,550.0,800.0,71.0,76.0,122.0,31.0,10340.0,0
2941,NC,2,482.0,439.0,921.0,21.0,420.0,520.0,390.0,480.0,18.0,22.0,979.0,743.0,259.0,25.0,46.0,1188.0,166.0,10100.0,10100.0,4000.0,1740.0,2260.0,510.0,400.0,1000.0,88.0,92.0,120.0,20.0,8539.0,0
1896,IA,2,557.0,478.0,1035.0,24.0,490.0,640.0,420.0,540.0,21.0,27.0,1231.0,1074.0,345.0,34.0,66.0,1295.0,105.0,11600.0,11600.0,3610.0,1940.0,1670.0,120.0,400.0,850.0,66.0,91.0,124.0,37.0,7735.0,0
3487,TN,1,450.0,400.0,850.0,21.0,?,?,?,?,17.0,22.0,3330.0,2730.0,1303.0,15.0,36.0,6706.0,2640.0,1800.0,5800.0,3000.0,1600.0,1800.0,?,600.0,2200.0,73.0,75.0,140.0,9.0,9825.0,1
1179,CA,2,?,?,?,?,390.0,510.0,380.0,470.0,18.0,23.0,344.0,264.0,97.0,11.0,42.0,500.0,331.0,12600.0,12600.0,5520.0,5520.0,?,?,630.0,2250.0,77.0,80.0,104.0,7.0,9773.0,1
2031,LA,1,?,?,?,19.0,?,?,?,?,16.0,21.0,4299.0,4250.0,2664.0,?,?,11767.0,3219.0,1898.0,4898.0,2082.0,?,?,?,560.0,?,63.0,67.0,227.0,9.0,4099.0,1
1023,AL,2,?,?,?,22.0,?,?,?,?,19.0,24.0,313.0,228.0,137.0,10.0,30.0,552.0,67.0,5780.0,5780.0,3600.0,?,?,?,?,?,70.0,70.0,179.0,27.0,5159.0,1
2621,NJ,1,600.0,466.0,1066.0,?,550.0,650.0,410.0,530.0,?,?,1879.0,1216.0,483.0,27.0,62.0,3311.0,1646.0,4188.0,8832.0,5376.0,3764.0,1612.0,792.0,700.0,1850.0,92.0,98.0,135.0,19.0,12529.0,0
1385,CT,2,560.0,498.0,1058.0,25.0,510.0,610.0,450.0,540.0,?,?,4784.0,3346.0,781.0,30.0,66.0,2984.0,1037.0,15000.0,15000.0,6200.0,6200.0,?,310.0,700.0,1100.0,86.0,90.0,151.0,30.0,11220.0,0
1696,IL,2,617.0,534.0,1151.0,28.0,600.0,670.0,480.0,560.0,26.0,30.0,3050.0,1342.0,471.0,55.0,86.0,1818.0,23.0,14360.0,14360.0,4090.0,1760.0,2330.0,125.0,400.0,650.0,77.0,92.0,129.0,34.0,9605.0,0
1781,IL,2,?,?,?,?,570.0,670.0,510.0,620.0,25.0,30.0,1432.0,920.0,548.0,56.0,84.0,2200.0,56.0,11480.0,11480.0,4200.0,2440.0,1760.0,?,530.0,1400.0,81.0,83.0,127.0,40.0,11916.0,0
2951,NC,2,432.0,394.0,826.0,20.0,380.0,480.0,340.0,450.0,?,?,812.0,689.0,195.0,7.0,24.0,646.0,84.0,8242.0,8242.0,4230.0,1900.0,2330.0,500.0,600.0,1295.0,77.0,77.0,127.0,11.0,10090.0,1
1850,IA,2,?,?,?,24.0,?,?,?,?,21.0,26.0,1283.0,1113.0,401.0,31.0,65.0,1355.0,40.0,10938.0,10938.0,3660.0,1638.0,2022.0,141.0,650.0,600.0,76.0,90.0,135.0,29.0,8444.0,0
2479,MO,1,?,?,?,18.0,?,?,?,?,?,?,1400.0,1396.0,688.0,5.0,19.0,2019.0,1287.0,1800.0,3600.0,2728.0,1112.0,1616.0,110.0,?,?,36.0,36.0,144.0,?,5363.0,0
2580,NH,2,433.0,383.0,816.0,?,385.0,495.0,340.0,426.0,?,?,1498.0,1275.0,292.0,?,17.0,1557.0,2973.0,10608.0,10608.0,4740.0,2760.0,1980.0,408.0,400.0,900.0,34.0,54.0,384.0,?,5523.0,0
3800,WA,1,?,?,?,?,430.0,560.0,370.0,480.0,?,?,6540.0,5839.0,2440.0,31.0,70.0,14445.0,1344.0,2907.0,8200.0,4210.0,3910.0,?,160.0,800.0,2719.0,84.0,87.0,169.0,30.0,10912.0,1
2942,NC,2,?,?,?,?,?,?,?,?,?,?,900.0,473.0,217.0,22.0,47.0,621.0,11.0,4400.0,4400.0,3400.0,2000.0,1400.0,800.0,800.0,900.0,53.0,93.0,104.0,16.0,9268.0,0
1758,IL,1,?,?,?,22.0,?,?,?,?,18.0,23.0,?,?,2158.0,?,?,16961.0,2499.0,2318.0,6953.0,3256.0,1920.0,1336.0,864.0,600.0,2608.0,71.0,?,149.0,6.0,9158.0,1
2610,NJ,2,440.0,410.0,850.0,?,380.0,460.0,380.0,470.0,?,?,420.0,280.0,155.0,6.0,33.0,505.0,640.0,8100.0,8100.0,?,?,?,220.0,500.0,?,66.0,70.0,112.0,1.0,8008.0,0
